cation,anion,SMILES
CCCC[NH+](CC)Cc1cccc(F)c1F,O=C([O-])C=CC(=O)[N-]C(C(=O)[O-])C(=O)[O-],CCCC[NH+](CC)Cc1cccc(F)c1F.O=C([O-])C=CC(=O)[N-]C(C(=O)[O-])C(=O)[O-]
COCCSCCC[NH2+]C1CC1,CC(Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])(C(=O)[O-])C(=O)[O-],COCCSCCC[NH2+]C1CC1.CC(Cc1ccc([N+](=O)[O-])cc1[N+](=O)[O-])(C(=O)[O-])C(=O)[O-]
COCC[NH+](C)CCC([NH3+])CC(C)(C)OC,Nc1ccc2ccnc(=O)n2c1-c1ccc2cc(CCCP(=O)([O-])OP(O)(=S)OC3CC(F)(C(=O)[O-])CCC3[NH3+])ccc2c1,COCC[NH+](C)CCC([NH3+])CC(C)(C)OC.Nc1ccc2ccnc(=O)n2c1-c1ccc2cc(CCCP(=O)([O-])OP(O)(=S)OC3CC(F)(C(=O)[O-])CCC3[NH3+])ccc2c1
CCC[NH+](Cc1cc(C)ccc1C)CC(O)COC,O=C([O-])COc1cccc(F)c1I,CCC[NH+](Cc1cc(C)ccc1C)CC(O)COC.O=C([O-])COc1cccc(F)c1I
CCCC[NH+](CC)C1CC(=O)N(CC)C1=O,CC(C)CC(NC(=O)C([NH3+])CC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC[NH3+])C(=O)[O-],CCCC[NH+](CC)C1CC(=O)N(CC)C1=O.CC(C)CC(NC(=O)C([NH3+])CC(=O)[O-])C(=O)NC(CCC(=O)[O-])C(=O)NC(CCCC[NH3+])C(=O)[O-]
O=C(C=Cc1ccsc1)Nc1ccc(-c2ccc3nc(NCCC[NH+](CO)CCO)ccc3c2)cc1,CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)C1CCCC(C(=O)[O-])C1CCCOC(=O)CCCCCCc1ccc(C=Cc2ccc(-c3ccccc3)cc2)cc1,O=C(C=Cc1ccsc1)Nc1ccc(-c2ccc3nc(NCCC[NH+](CO)CCO)ccc3c2)cc1.CC(C)CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)C1CCCC(C(=O)[O-])C1CCCOC(=O)CCCCCCc1ccc(C=Cc2ccc(-c3ccccc3)cc2)cc1
CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCC)CCCCCCCC[NH+](C)C,C=C1C(C(=O)[O-])=C(c2cc(=O)c3cc(NC(=O)N4CC(C)C(NC(C)=O)C(CC(=O)[O-])C4)ccc3[nH]2)C(=O)N1c1ccccc1OC,CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CCC)CCCCCCCC[NH+](C)C.C=C1C(C(=O)[O-])=C(c2cc(=O)c3cc(NC(=O)N4CC(C)C(NC(C)=O)C(CC(=O)[O-])C4)ccc3[nH]2)C(=O)N1c1ccccc1OC
C=CCC(O)(c1ccccc1-c1ccccc1)C(C)C[NH+](C)C,CC(=O)Nc1ccc2c(c1)C(=CC(=O)[O-])CCN2,C=CCC(O)(c1ccccc1-c1ccccc1)C(C)C[NH+](C)C.CC(=O)Nc1ccc2c(c1)C(=CC(=O)[O-])CCN2
CCOP(C)[NH+](CC=O)Cc1ccc(C)cc1C,CC(NC(=O)C(NC(=O)C([NH3+])CC[NH+]=C([O-])OC(C)(C)C)C(C)O)C(=O)N1CCCC1C(=O)NC(CC(=O)[O-])C(=O)[O-],CCOP(C)[NH+](CC=O)Cc1ccc(C)cc1C.CC(NC(=O)C(NC(=O)C([NH3+])CC[NH+]=C([O-])OC(C)(C)C)C(C)O)C(=O)N1CCCC1C(=O)NC(CC(=O)[O-])C(=O)[O-]
Cc1cc(N2CCCCC2)cc(C)[nH+]1,CCOC(=O)[N-]C(=O)n1nc(-c2cc(NC)n(C)n2)c(OOc2ccccc2)cc1=O,Cc1cc(N2CCCCC2)cc(C)[nH+]1.CCOC(=O)[N-]C(=O)n1nc(-c2cc(NC)n(C)n2)c(OOc2ccccc2)cc1=O
