ind,new_cation,new_anion,Experimental logEC50,group
233,CCCCCC[n+]1ccccc1,[Cl-],2.8,CCCCCC[n+]1ccccc1.[Cl-]
179,CCOC(=O)C[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.592176757,CCOC(=O)C[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
281,CCCCCCCCCCn1cc[n+](C)c1,[Cl-],1.34,CCCCCCCCCCn1cc[n+](C)c1.[Cl-]
313,C[N+]1(CCO)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.65,C[N+]1(CCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
81,C[N+]1(CC#N)CCCC1,[Cl-],4.23,C[N+]1(CC#N)CCCC1.[Cl-]
7,COCC[N+]1(C)CCCC1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,2.16,COCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
300,CCOCC[N+]1(C)CCOCC1,[Br-],4.6,CCOCC[N+]1(C)CCOCC1.[Br-]
1,CCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.16,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
104,CCCC[n+]1ccc(C)cc1,F[P-](F)(F)(F)(F)F,3.3,CCCC[n+]1ccc(C)cc1.F[P-](F)(F)(F)(F)F
102,C[N+]1(Cc2ccccc2)CCOCC1,O=C1[N-]S(=O)(=O)c2ccccc21,3.5,C[N+]1(Cc2ccccc2)CCOCC1.O=C1[N-]S(=O)(=O)c2ccccc21
156,CCCCCCn1cc[n+](C)c1,O=C1[N-]S(=O)(=O)c2ccccc21,2.307496038,CCCCCCn1cc[n+](C)c1.O=C1[N-]S(=O)(=O)c2ccccc21
240,C[n+]1ccn(CCCCCCCCO)c1,[Br-],2.357934847,C[n+]1ccn(CCCCCCCCO)c1.[Br-]
323,CCCC[n+]1ccccc1,COS(=O)(=O)[O-],3.92,CCCC[n+]1ccccc1.COS(=O)(=O)[O-]
266,C[N+]1(CCCO)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,C[N+]1(CCCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
263,C[N+]1(C#N)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,C[N+]1(C#N)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
115,CCCC[n+]1cccc(C)c1,[Cl-],3.86,CCCC[n+]1cccc(C)c1.[Cl-]
319,CCCC[n+]1ccc(N(C)C)cc1,[Cl-],1.94,CCCC[n+]1ccc(N(C)C)cc1.[Cl-]
122,CCCC[n+]1ccc(C)c(C)c1,F[B-](F)(F)F,3.02,CCCC[n+]1ccc(C)c(C)c1.F[B-](F)(F)F
103,C[N+]1(Cc2ccccc2)CCOCC1,C/C=C/C(=O)[O-],4.15,C[N+]1(Cc2ccccc2)CCOCC1.C/C=C/C(=O)[O-]
255,CCCCCCCC[N+]1(C)CCCC1,F[B-](F)(F)F,1.82,CCCCCCCC[N+]1(C)CCCC1.F[B-](F)(F)F
234,CCCC[n+]1ccccc1C,F[B-](F)(F)F,3.25,CCCC[n+]1ccccc1C.F[B-](F)(F)F
239,OCC[NH2+]CCO,CCC(=O)[O-],3.767155866,OCC[NH2+]CCO.CCC(=O)[O-]
161,CCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2.58,CCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
328,CCCCCC[N+]1(CCCCCC)CCCC1,F[B-](F)(F)F,1.23,CCCCCC[N+]1(CCCCCC)CCCC1.F[B-](F)(F)F
183,CCCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.41,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
262,CCCC[N+]1(C)CCCCC1,[Br-],4.03,CCCC[N+]1(C)CCCCC1.[Br-]
223,CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.4,CCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1
189,CCOC[n+]1ccccc1,[Cl-],3.32,CCOC[n+]1ccccc1.[Cl-]
63,CCOCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.27,CCOCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
285,CCCCn1cc[n+](CC)c1,O=C([O-])C(F)(F)F,3.31386722,CCCCn1cc[n+](CC)c1.O=C([O-])C(F)(F)F
174,CCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2.980003372,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
192,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,1.59,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
256,CCCCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,1.591064607,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
