ion_type,canonical_smiles,source_properties,source_split_roles,source_files
anion,Brc1ccc2[n-]ncc2c1,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
anion,Brc1ccc2cn[n-]c2c1,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
anion,Brc1cccc2[n-]ncc12,vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
anion,Brc1cnc[n-]1,vis,training;validation,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
anion,C/C=C/C(=O)[O-],tox,training;validation,train_1_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_2_group_tox.csv
anion,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-],co2;vis,test;training;validation,test_group_co2.csv;train_1_group_co2.csv;train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_3_group_vis.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_co2.csv;val_3_group_co2.csv;val_3_group_vis.csv;val_4_group_vis.csv;val_5_group_co2.csv;val_5_group_vis.csv
anion,CC(=O)CCC(=O)[O-],co2,training;validation,train_1_group_co2.csv;train_2_group_co2.csv;train_4_group_co2.csv;train_5_group_co2.csv;val_3_group_co2.csv
anion,CC(=O)NC(C(=O)[O-])C(C)C,vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
anion,CC(=O)NC(C)C(=O)[O-],vis,training;validation,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_3_group_vis.csv;val_4_group_vis.csv
anion,CC(=O)NC(CC(C)C)C(=O)[O-],vis,test;training;validation,test_group_vis.csv;train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_4_group_vis.csv
