rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set
1,74410,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,C[NH+](C)C.CC1(C(=O)[O-])CCCN1,2.3099991315213413,0.4154356510998776,0.19640167796091149,-4.503816604614258,0.9632065817549459,3.806542158126831,2.6841464743633874,True
2,75448,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,C[NH+]1CCCC1=O.CC1(C(=O)[O-])CCCN1,2.2136861504879994,0.39566007740161735,0.19006152971453594,-4.668062210083008,0.8153969398364388,3.7321536540985107,2.955389053113182,True
3,74493,C[NH+](C)C,NCC(=O)[O-],C[NH+](C)C.NCC(=O)[O-],1.5718253339899484,0.4465186537830115,0.121467946494312,-3.948488235473633,0.9773380709329906,3.6537177562713623,2.9966788982556154,True
4,64030,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,CCn1cc[nH+]c1.CC1(C(=O)[O-])CCCN1,1.4433701699541113,0.40032140719473513,0.19033913925518964,-3.8619251251220703,1.140258155253293,3.905461072921753,2.3834297756431515,True
7,74396,C[NH+](C)C,CC(=O)CCC(=O)[O-],C[NH+](C)C.CC(=O)CCC(=O)[O-],0.7714440239936773,0.28456053892676497,0.15878436373122812,-5.037324905395508,0.9297037203359501,3.638657331466675,3.0019821930013455,True
11,75794,C[NH3+],CC1(C(=O)[O-])CCCN1,C[NH3+].CC1(C(=O)[O-])CCCN1,0.6412930216603954,0.3963576513267039,0.18998491540155518,-2.896547317504883,1.3020982461711117,3.926281690597534,2.499635097575787,True
13,74412,C[NH+](C)C,CCC(=O)[O-],C[NH+](C)C.CCC(=O)[O-],0.6214611377533742,0.28135906984936,0.1462216068336196,-5.234712600708008,0.9592123595809521,3.701695203781128,2.568229596590465,True
16,60916,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.5350882656957628,0.4029231980928268,0.19022691927746732,-2.6122074127197266,1.425954228189574,3.877201795578003,2.3904674203835197,True
17,74447,C[NH+](C)C,CO[PH](=O)[O-],C[NH+](C)C.CO[PH](=O)[O-],0.5274528436938665,0.22087329409200465,0.15899634652970632,-5.256837844848633,0.8824252739410663,3.7856528759002686,2.695627299183308,True
21,75434,C[NH+]1CCCC1=O,CC(=O)CCC(=O)[O-],C[NH+]1CCCC1=O.CC(=O)CCC(=O)[O-],0.4381244631999011,0.24549927518779632,0.14486610719996657,-5.280061721801758,0.7108669874834095,3.5928733348846436,3.198420796539417,True
24,64301,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,CCn1ccc[n+]1C.O=C([O-])C1CCCN1,0.4270036664224286,0.40973540136720743,0.1936756356927567,-2.383394241333008,1.4129739438844924,3.8234755992889404,2.3596559066789387,True
34,24323,CCCCCC[NH+](CCCCCC)CCCCCC,NCC(=O)[O-],CCCCCC[NH+](CCCCCC)CCCCCC.NCC(=O)[O-],0.3314000716396559,0.5160131799344628,0.12161873798480786,-2.773714065551758,0.89688437187801,2.004276990890503,3.1340369212416843,True
38,64067,CCn1cc[nH+]c1,CO[PH](=O)[O-],CCn1cc[nH+]c1.CO[PH](=O)[O-],0.3075378048376281,0.20589737743892006,0.1514931758910237,-4.40709114074707,1.103596588135437,3.879692792892456,2.388074324468778,True
46,52958,CCOCC[NH+](C)C,CC1(C(=O)[O-])CCCN1,CCOCC[NH+](C)C.CC1(C(=O)[O-])CCCN1,0.2934733425669742,0.4240591468988114,0.19659673493308708,-2.306978225708008,1.1110525208496238,4.020968437194824,2.5990039054427356,True
47,64031,CCn1cc[nH+]c1,CC1=CC(=O)[N-]S(=O)(=O)O1,CCn1cc[nH+]c1.CC1=CC(=O)[N-]S(=O)(=O)O1,0.29174120154285194,0.22309071385869322,0.16134304311096914,-3.7725391387939453,1.1455012042415156,3.912194013595581,2.1111076868040635,True
49,48716,CCC[NH+](C)CCC,NCC(=O)[O-],CCC[NH+](C)CCC.NCC(=O)[O-],0.29092442005907837,0.5995151858892439,0.12455517221399576,-1.8609027862548828,1.159044754414952,3.4412314891815186,2.9037578110706828,True
65,53041,CCOCC[NH+](C)C,NCC(=O)[O-],CCOCC[NH+](C)C.NCC(=O)[O-],0.24362923826010877,0.4699428373768992,0.11634059369098047,-2.147310256958008,1.1203747613649753,3.822624921798706,3.0231250532496086,True
69,48543,CCC[NH+](C)C,NCC(=O)[O-],CCC[NH+](C)C.NCC(=O)[O-],0.23722118889674676,0.47932835550062,0.10993390762148064,-2.111085891723633,1.1547495411064457,3.4977214336395264,2.9493458297331387,True
71,58231,CC[NH+](C)CC,NCC(=O)[O-],CC[NH+](C)CC.NCC(=O)[O-],0.22573914662764086,0.4959816388246777,0.10966891607804198,-1.9882831573486328,1.1511119918858739,3.597325086593628,2.862566391620559,True
75,75450,C[NH+]1CCCC1=O,CCC(=O)[O-],C[NH+]1CCCC1=O.CCC(=O)[O-],0.21484930016180442,0.22785258860594837,0.1280964773670245,-5.755037307739258,0.6854897934496731,3.641075849533081,2.866932039028175,True
84,74746,C[NH+](CCO)CCO,CC(=O)[O-],C[NH+](CCO)CCO.CC(=O)[O-],0.20044166569590632,0.5396647791177923,0.12180251205493645,-1.6747760772705078,1.179924442167482,3.866741895675659,1.7619404790699595,True
