rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set,tier1_flag,tier1_reason,tier2_score,tier2_flag,tier3_flag,tier3_reason,overall_status
8,64203,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,CCn1ccc[n+]1C.CC1(C(=O)[O-])CCCN1,0.7212794516558502,0.4002746808111532,0.19008353040144818,-2.9753665924072266,1.4047363187901365,3.832318067550659,2.376656707361157,False,False,,3,False,False,,Pass
12,63165,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,CCn1cc(C)[n+](CC)c1.CC1(C(=O)[O-])CCCN1,0.6229083173854582,0.40029728191996006,0.1909064276206711,-2.852682113647461,1.422716499573678,3.699448347091675,2.664637349773989,False,False,,4,False,False,,Pass
15,61089,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,CC[n+]1cc(C)n(C)c1.CC1(C(=O)[O-])CCCN1,0.5825653561423612,0.39910231233990123,0.19107235716147195,-2.814767837524414,1.4499840373771988,3.5705840587615967,2.8869319935086875,False,False,,3,False,False,,Pass
16,60916,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.5350882656957628,0.4029231980928268,0.19022691927746732,-2.6122074127197266,1.425954228189574,3.877201795578003,2.3904674203835197,True,False,,4,False,False,,Pass
20,75449,C[NH+]1CCCC1=O,CC1=CC(=O)[N-]S(=O)(=O)O1,C[NH+]1CCCC1=O.CC1=CC(=O)[N-]S(=O)(=O)O1,0.4577127009697605,0.2223927478165674,0.161016200576214,-4.580141067504883,0.8350324633563708,3.6901824474334717,2.8479136074657143,False,False,,3,False,False,,Pass
23,63263,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,CCn1cc(C)[n+](CC)c1.O=C([O-])C1CCCN1,0.42780966973163886,0.40955153543463374,0.19434473474261613,-2.4032726287841797,1.4406091817454931,3.690300703048706,2.6522754328922606,False,False,,5,False,False,,Pass
24,64301,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,CCn1ccc[n+]1C.O=C([O-])C1CCCN1,0.4270036664224286,0.40973540136720743,0.1936756356927567,-2.383394241333008,1.4129739438844924,3.8234755992889404,2.3596559066789387,True,False,,3,False,False,,Pass
26,75485,C[NH+]1CCCC1=O,CO[PH](=O)[O-],C[NH+]1CCCC1=O.CO[PH](=O)[O-],0.4103013231380834,0.205857057545898,0.15155240822989277,-5.218080520629883,0.6767898485932389,3.707136869430542,2.9584920240652197,False,False,,3,False,False,,Pass
28,75555,C[NH+]1CCCC1=O,O=C1[N-]S(=O)(=O)c2ccccc21,C[NH+]1CCCC1=O.O=C1[N-]S(=O)(=O)c2ccccc21,0.40337130673561794,0.21974692222391629,0.15619658730065683,-4.945070266723633,0.765382222200242,3.347641706466675,2.566416004458489,False,False,,4,False,False,,Pass
30,61187,CC[n+]1cc(C)n(C)c1,O=C([O-])C1CCCN1,CC[n+]1cc(C)n(C)c1.O=C([O-])C1CCCN1,0.3861931841138304,0.40815022608070334,0.19430364405679917,-2.340608596801758,1.4535388972350023,3.5650794506073,2.8775006904236657,False,False,,3,False,False,,Pass
