rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set
1,74410,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,C[NH+](C)C.CC1(C(=O)[O-])CCCN1,2.3099991315213413,0.4154356510998776,0.19640167796091149,-4.503816604614258,0.9632065817549459,3.806542158126831,2.6841464743633874,True
2,75448,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,C[NH+]1CCCC1=O.CC1(C(=O)[O-])CCCN1,2.2136861504879994,0.39566007740161735,0.19006152971453594,-4.668062210083008,0.8153969398364388,3.7321536540985107,2.955389053113182,True
3,74493,C[NH+](C)C,NCC(=O)[O-],C[NH+](C)C.NCC(=O)[O-],1.5718253339899484,0.4465186537830115,0.121467946494312,-3.948488235473633,0.9773380709329906,3.6537177562713623,2.9966788982556154,True
4,64030,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,CCn1cc[nH+]c1.CC1(C(=O)[O-])CCCN1,1.4433701699541113,0.40032140719473513,0.19033913925518964,-3.8619251251220703,1.140258155253293,3.905461072921753,2.3834297756431515,True
5,80984,Cc1cccc[nH+]1,CC1(C(=O)[O-])CCCN1,Cc1cccc[nH+]1.CC1(C(=O)[O-])CCCN1,1.3428623556911545,0.3989723244597737,0.18987544441377194,-3.8549060821533203,1.227650251185756,3.770958662033081,2.3908487850987163,False
6,75275,C[NH+]1C=CN=C1,CC1(C(=O)[O-])CCCN1,C[NH+]1C=CN=C1.CC1(C(=O)[O-])CCCN1,0.9249089497974838,0.360943606073383,0.19197515087430245,-3.687379837036133,1.2361775045864,3.6671340465545654,3.046272726932943,False
7,74396,C[NH+](C)C,CC(=O)CCC(=O)[O-],C[NH+](C)C.CC(=O)CCC(=O)[O-],0.7714440239936773,0.28456053892676497,0.15878436373122812,-5.037324905395508,0.9297037203359501,3.638657331466675,3.0019821930013455,True
8,64203,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,CCn1ccc[n+]1C.CC1(C(=O)[O-])CCCN1,0.7212794516558502,0.4002746808111532,0.19008353040144818,-2.9753665924072266,1.4047363187901365,3.832318067550659,2.376656707361157,False
9,75531,C[NH+]1CCCC1=O,NCC(=O)[O-],C[NH+]1CCCC1=O.NCC(=O)[O-],0.6632405653578564,0.3876136152197661,0.09492811547934925,-4.247407913208008,0.8717618697955276,3.597334623336792,3.1880835204724955,False
10,65241,CN1CCC[NH+]2CCCN=C12,CC1(C(=O)[O-])CCCN1,CN1CCC[NH+]2CCCN=C12.CC1(C(=O)[O-])CCCN1,0.6495262718933714,0.391882150514022,0.1910010820964707,-2.997201919555664,1.368201092607597,3.6383960247039795,3.023023946704464,False
11,75794,C[NH3+],CC1(C(=O)[O-])CCCN1,C[NH3+].CC1(C(=O)[O-])CCCN1,0.6412930216603954,0.3963576513267039,0.18998491540155518,-2.896547317504883,1.3020982461711117,3.926281690597534,2.499635097575787,True
12,63165,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,CCn1cc(C)[n+](CC)c1.CC1(C(=O)[O-])CCCN1,0.6229083173854582,0.40029728191996006,0.1909064276206711,-2.852682113647461,1.422716499573678,3.699448347091675,2.664637349773989,False
13,74412,C[NH+](C)C,CCC(=O)[O-],C[NH+](C)C.CCC(=O)[O-],0.6214611377533742,0.28135906984936,0.1462216068336196,-5.234712600708008,0.9592123595809521,3.701695203781128,2.568229596590465,True
14,58840,CC[NH2+]CC,CC1(C(=O)[O-])CCCN1,CC[NH2+]CC.CC1(C(=O)[O-])CCCN1,0.6202955097381346,0.3972402300501365,0.19167968189925225,-2.970033645629883,1.2068491184140209,3.761936902999878,2.4902419385608177,False
15,61089,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,CC[n+]1cc(C)n(C)c1.CC1(C(=O)[O-])CCCN1,0.5825653561423612,0.39910231233990123,0.19107235716147195,-2.814767837524414,1.4499840373771988,3.5705840587615967,2.8869319935086875,False
16,60916,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.5350882656957628,0.4029231980928268,0.19022691927746732,-2.6122074127197266,1.425954228189574,3.877201795578003,2.3904674203835197,True
17,74447,C[NH+](C)C,CO[PH](=O)[O-],C[NH+](C)C.CO[PH](=O)[O-],0.5274528436938665,0.22087329409200465,0.15899634652970632,-5.256837844848633,0.8824252739410663,3.7856528759002686,2.695627299183308,True
18,74411,C[NH+](C)C,CC1=CC(=O)[N-]S(=O)(=O)O1,C[NH+](C)C.CC1=CC(=O)[N-]S(=O)(=O)O1,0.5082454012705124,0.23482781711275252,0.16729447284446772,-4.427339553833008,0.9725099629771948,3.7768752574920654,2.5578121010530097,False
19,74517,C[NH+](C)C,O=C1[N-]S(=O)(=O)c2ccccc21,C[NH+](C)C.O=C1[N-]S(=O)(=O)c2ccccc21,0.48415514256630826,0.23802418847807505,0.16449154782061037,-4.869569778442383,0.9332571021238203,3.355097532272339,2.133843588405165,False
20,75449,C[NH+]1CCCC1=O,CC1=CC(=O)[N-]S(=O)(=O)O1,C[NH+]1CCCC1=O.CC1=CC(=O)[N-]S(=O)(=O)O1,0.4577127009697605,0.2223927478165674,0.161016200576214,-4.580141067504883,0.8350324633563708,3.6901824474334717,2.8479136074657143,False
21,75434,C[NH+]1CCCC1=O,CC(=O)CCC(=O)[O-],C[NH+]1CCCC1=O.CC(=O)CCC(=O)[O-],0.4381244631999011,0.24549927518779632,0.14486610719996657,-5.280061721801758,0.7108669874834095,3.5928733348846436,3.198420796539417,True
22,64113,CCn1cc[nH+]c1,NCC(=O)[O-],CCn1cc[nH+]c1.NCC(=O)[O-],0.4324704699430995,0.39950371683738034,0.08798434547949135,-3.551607131958008,1.1577235446379335,3.7651450634002686,2.8065633212322907,False
23,63263,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,CCn1cc(C)[n+](CC)c1.O=C([O-])C1CCCN1,0.42780966973163886,0.40955153543463374,0.19434473474261613,-2.4032726287841797,1.4406091817454931,3.690300703048706,2.6522754328922606,False
24,64301,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,CCn1ccc[n+]1C.O=C([O-])C1CCCN1,0.4270036664224286,0.40973540136720743,0.1936756356927567,-2.383394241333008,1.4129739438844924,3.8234755992889404,2.3596559066789387,True
25,81067,Cc1cccc[nH+]1,NCC(=O)[O-],Cc1cccc[nH+]1.NCC(=O)[O-],0.4125078314406104,0.3957623012430172,0.08938021550493258,-3.5900135040283203,1.2334212952683277,3.6334197521209717,2.8064781996755124,False
26,75485,C[NH+]1CCCC1=O,CO[PH](=O)[O-],C[NH+]1CCCC1=O.CO[PH](=O)[O-],0.4103013231380834,0.205857057545898,0.15155240822989277,-5.218080520629883,0.6767898485932389,3.707136869430542,2.9584920240652197,False
27,24242,CCCCCC[NH+](CCCCCC)CCCCCC,CCC(=O)[O-],CCCCCC[NH+](CCCCCC)CCCCCC.CCC(=O)[O-],0.40912859392673984,0.3283405237679878,0.15322008428164696,-4.070589065551758,0.8608266187875583,2.2301719188690186,2.8854022708538296,False
28,75555,C[NH+]1CCCC1=O,O=C1[N-]S(=O)(=O)c2ccccc21,C[NH+]1CCCC1=O.O=C1[N-]S(=O)(=O)c2ccccc21,0.40337130673561794,0.21974692222391629,0.15619658730065683,-4.945070266723633,0.765382222200242,3.347641706466675,2.566416004458489,False
