setting,rank,candidate_index,score,is_pareto_within_top50,cation,anion,co2_pred,vis_pred,tox_pred
three_objective,1,74410,2.3099991315213413,True,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4154356510998776,-4.503816604614258,3.806542158126831
three_objective,2,75448,2.2136861504879994,True,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,0.39566007740161735,-4.668062210083008,3.7321536540985107
three_objective,3,74493,1.5718253339899484,True,C[NH+](C)C,NCC(=O)[O-],0.4465186537830115,-3.948488235473633,3.6537177562713623
three_objective,4,64030,1.4433701699541113,True,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,0.40032140719473513,-3.8619251251220703,3.905461072921753
three_objective,5,80984,1.3428623556911545,False,Cc1cccc[nH+]1,CC1(C(=O)[O-])CCCN1,0.3989723244597737,-3.8549060821533203,3.770958662033081
three_objective,6,75275,0.9249089497974838,False,C[NH+]1C=CN=C1,CC1(C(=O)[O-])CCCN1,0.360943606073383,-3.687379837036133,3.6671340465545654
three_objective,7,74396,0.7714440239936773,True,C[NH+](C)C,CC(=O)CCC(=O)[O-],0.28456053892676497,-5.037324905395508,3.638657331466675
three_objective,8,64203,0.7212794516558502,False,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,0.4002746808111532,-2.9753665924072266,3.832318067550659
three_objective,9,75531,0.6632405653578564,False,C[NH+]1CCCC1=O,NCC(=O)[O-],0.3876136152197661,-4.247407913208008,3.597334623336792
three_objective,10,65241,0.6495262718933714,False,CN1CCC[NH+]2CCCN=C12,CC1(C(=O)[O-])CCCN1,0.391882150514022,-2.997201919555664,3.6383960247039795
three_objective,11,75794,0.6412930216603954,True,C[NH3+],CC1(C(=O)[O-])CCCN1,0.3963576513267039,-2.896547317504883,3.926281690597534
three_objective,12,63165,0.6229083173854582,False,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,0.40029728191996006,-2.852682113647461,3.699448347091675
three_objective,13,74412,0.6214611377533742,True,C[NH+](C)C,CCC(=O)[O-],0.28135906984936,-5.234712600708008,3.701695203781128
three_objective,14,58840,0.6202955097381346,False,CC[NH2+]CC,CC1(C(=O)[O-])CCCN1,0.3972402300501365,-2.970033645629883,3.761936902999878
three_objective,15,61089,0.5825653561423612,False,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,0.39910231233990123,-2.814767837524414,3.5705840587615967
three_objective,16,60916,0.5350882656957628,True,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.4029231980928268,-2.6122074127197266,3.877201795578003
three_objective,17,74447,0.5274528436938665,True,C[NH+](C)C,CO[PH](=O)[O-],0.22087329409200465,-5.256837844848633,3.7856528759002686
three_objective,18,74411,0.5082454012705124,False,C[NH+](C)C,CC1=CC(=O)[N-]S(=O)(=O)O1,0.23482781711275252,-4.427339553833008,3.7768752574920654
three_objective,19,74517,0.48415514256630826,False,C[NH+](C)C,O=C1[N-]S(=O)(=O)c2ccccc21,0.23802418847807505,-4.869569778442383,3.355097532272339
three_objective,20,75449,0.4577127009697605,False,C[NH+]1CCCC1=O,CC1=CC(=O)[N-]S(=O)(=O)O1,0.2223927478165674,-4.580141067504883,3.6901824474334717
three_objective,21,75434,0.4381244631999011,True,C[NH+]1CCCC1=O,CC(=O)CCC(=O)[O-],0.24549927518779632,-5.280061721801758,3.5928733348846436
three_objective,22,64113,0.4324704699430995,False,CCn1cc[nH+]c1,NCC(=O)[O-],0.39950371683738034,-3.551607131958008,3.7651450634002686
three_objective,23,63263,0.42780966973163886,False,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,0.40955153543463374,-2.4032726287841797,3.690300703048706
three_objective,24,64301,0.4270036664224286,True,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,0.40973540136720743,-2.383394241333008,3.8234755992889404
three_objective,25,81067,0.4125078314406104,False,Cc1cccc[nH+]1,NCC(=O)[O-],0.3957623012430172,-3.5900135040283203,3.6334197521209717
three_objective,26,75485,0.4103013231380834,False,C[NH+]1CCCC1=O,CO[PH](=O)[O-],0.205857057545898,-5.218080520629883,3.707136869430542
three_objective,27,24242,0.40912859392673984,False,CCCCCC[NH+](CCCCCC)CCCCCC,CCC(=O)[O-],0.3283405237679878,-4.070589065551758,2.2301719188690186
three_objective,28,75555,0.40337130673561794,False,C[NH+]1CCCC1=O,O=C1[N-]S(=O)(=O)c2ccccc21,0.21974692222391629,-4.945070266723633,3.347641706466675
three_objective,29,24240,0.4024928063887325,False,CCCCCC[NH+](CCCCCC)CCCCCC,CC1(C(=O)[O-])CCCN1,0.44152887650967176,-3.229524612426758,1.8551642894744873
three_objective,30,61187,0.3861931841138304,False,CC[n+]1cc(C)n(C)c1,O=C([O-])C1CCCN1,0.40815022608070334,-2.340608596801758,3.5650794506073
three_objective,31,24226,0.38123602281962,False,CCCCCC[NH+](CCCCCC)CCCCCC,CC(=O)CCC(=O)[O-],0.3177081965672998,-3.916078567504883,2.0700175762176514
three_objective,32,61014,0.34383621518340995,False,CC[S+]1CCCC1,O=C([O-])C1CCCN1,0.4122296234076837,-2.148355484008789,3.8727195262908936
three_objective,33,65339,0.33728953825171504,False,CN1CCC[NH+]2CCCN=C12,O=C([O-])C1CCCN1,0.4009595490209637,-2.294557571411133,3.6356894969940186
three_objective,34,24323,0.3314000716396559,True,CCCCCC[NH+](CCCCCC)CCCCCC,NCC(=O)[O-],0.5160131799344628,-2.773714065551758,2.004276990890503
three_objective,35,87039,0.33030379348983646,False,[NH3+]CNCCO,CC1(C(=O)[O-])CCCN1,0.38920038253008,-2.549814224243164,3.84016489982605
three_objective,36,64016,0.32082719937489756,False,CCn1cc[nH+]c1,CC(=O)CCC(=O)[O-],0.24840886278694582,-4.334413528442383,3.764691114425659
three_objective,37,81082,0.31009521121498823,False,Cc1cccc[nH+]1,O=C([O-])C1CCCN1,0.4085131546425459,-2.318239212036133,3.764012098312378
three_objective,38,64067,0.3075378048376281,True,CCn1cc[nH+]c1,CO[PH](=O)[O-],0.20589737743892006,-4.40709114074707,3.879692792892456
three_objective,39,74494,0.3050497255044982,False,C[NH+](C)C,NCCC(=O)[O-],0.2933398649154316,-4.514406204223633,3.601698637008667
three_objective,40,75312,0.30345869136102593,False,C[NH+]1C=CN=C1,CO[PH](=O)[O-],0.21760513409335552,-4.131349563598633,3.643376111984253
three_objective,41,75261,0.3006012657627563,False,C[NH+]1C=CN=C1,CC(=O)CCC(=O)[O-],0.24298774630458858,-4.082963943481445,3.5393474102020264
three_objective,42,74544,0.29998634052091816,False,C[NH+](C)C,O=S1(=O)N=C([O-])c2ccccc21,0.22719275700984748,-4.684633255004883,2.7162768840789795
three_objective,43,49152,0.29902516202134466,False,CCC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.40352556965407854,-2.1399402618408203,3.7813613414764404
three_objective,44,80970,0.29602290032782774,False,Cc1cccc[nH+]1,CC(=O)CCC(=O)[O-],0.2473121483888069,-4.331926345825195,3.6337859630584717
three_objective,45,75358,0.29414398943034054,False,C[NH+]1C=CN=C1,NCC(=O)[O-],0.3104425565557833,-3.465791702270508,3.542464017868042
three_objective,46,52958,0.2934733425669742,True,CCOCC[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4240591468988114,-2.306978225708008,4.020968437194824
three_objective,47,64031,0.29174120154285194,True,CCn1cc[nH+]c1,CC1=CC(=O)[N-]S(=O)(=O)O1,0.22309071385869322,-3.7725391387939453,3.912194013595581
three_objective,48,1231,0.2911662799240258,False,C=CC[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4027771359015605,-2.367555618286133,3.7234275341033936
three_objective,49,48716,0.29092442005907837,True,CCC[NH+](C)CCC,NCC(=O)[O-],0.5995151858892439,-1.8609027862548828,3.4412314891815186
three_objective,50,86174,0.2881207032995908,False,OCC[NH2+]c1ccccc1,CC1(C(=O)[O-])CCCN1,0.37933138289595636,-2.7321720123291016,3.698296308517456
two_objective,1,74410,3.5798573468040944,True,C[NH+](C)C,CC1(C(=O)[O-])CCCN1,0.4154356510998776,-4.503816604614258,3.806542158126831
two_objective,2,75448,3.5142512834002972,True,C[NH+]1CCCC1=O,CC1(C(=O)[O-])CCCN1,0.39566007740161735,-4.668062210083008,3.7321536540985107
two_objective,3,74493,2.53042699149796,True,C[NH+](C)C,NCC(=O)[O-],0.4465186537830115,-3.948488235473633,3.6537177562713623
two_objective,4,64030,2.1343246054893705,False,CCn1cc[nH+]c1,CC1(C(=O)[O-])CCCN1,0.40032140719473513,-3.8619251251220703,3.905461072921753
two_objective,5,80984,2.0910423569130256,False,Cc1cccc[nH+]1,CC1(C(=O)[O-])CCCN1,0.3989723244597737,-3.8549060821533203,3.770958662033081
two_objective,6,75275,1.4719345961700876,False,C[NH+]1C=CN=C1,CC1(C(=O)[O-])CCCN1,0.360943606073383,-3.687379837036133,3.6671340465545654
two_objective,7,24240,1.353298398534669,False,CCCCCC[NH+](CCCCCC)CCCCCC,CC1(C(=O)[O-])CCCN1,0.44152887650967176,-3.229524612426758,1.8551642894744873
two_objective,8,74396,1.2663374672673893,True,C[NH+](C)C,CC(=O)CCC(=O)[O-],0.28456053892676497,-5.037324905395508,3.638657331466675
two_objective,9,24242,1.1631205370579136,False,CCCCCC[NH+](CCCCCC)CCCCCC,CCC(=O)[O-],0.3283405237679878,-4.070589065551758,2.2301719188690186
two_objective,10,24226,1.1021596034131191,False,CCCCCC[NH+](CCCCCC)CCCCCC,CC(=O)CCC(=O)[O-],0.3177081965672998,-3.916078567504883,2.0700175762176514
two_objective,11,75531,1.0860405735225716,False,C[NH+]1CCCC1=O,NCC(=O)[O-],0.3876136152197661,-4.247407913208008,3.597334623336792
two_objective,12,64203,1.0790580751576078,False,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,0.4002746808111532,-2.9753665924072266,3.832318067550659
two_objective,13,65241,1.03143927700406,False,CN1CCC[NH+]2CCCN=C12,CC1(C(=O)[O-])CCCN1,0.391882150514022,-2.997201919555664,3.6383960247039795
two_objective,14,74412,1.010833589319907,True,C[NH+](C)C,CCC(=O)[O-],0.28135906984936,-5.234712600708008,3.701695203781128
two_objective,15,63165,0.9741189632794045,False,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,0.40029728191996006,-2.852682113647461,3.699448347091675
two_objective,16,24323,0.9668247370976016,True,CCCCCC[NH+](CCCCCC)CCCCCC,NCC(=O)[O-],0.5160131799344628,-2.773714065551758,2.004276990890503
two_objective,17,58840,0.9525701948684665,False,CC[NH2+]CC,CC1(C(=O)[O-])CCCN1,0.3972402300501365,-2.970033645629883,3.761936902999878
two_objective,18,61089,0.9473898602952732,False,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,0.39910231233990123,-2.814767837524414,3.5705840587615967
two_objective,19,74517,0.9290538108858879,False,C[NH+](C)C,O=C1[N-]S(=O)(=O)c2ccccc21,0.23802418847807505,-4.869569778442383,3.355097532272339
two_objective,20,75794,0.9248399250610049,False,C[NH3+],CC1(C(=O)[O-])CCCN1,0.3963576513267039,-2.896547317504883,3.926281690597534
two_objective,21,16111,0.8654429964697813,False,CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,CCC(=O)[O-],0.3324357822985192,-3.680391311645508,1.4032771587371826
two_objective,22,74447,0.8304142579323154,False,C[NH+](C)C,CO[PH](=O)[O-],0.22087329409200465,-5.256837844848633,3.7856528759002686
two_objective,23,74411,0.7936374039159027,False,C[NH+](C)C,CC1=CC(=O)[N-]S(=O)(=O)O1,0.23482781711275252,-4.427339553833008,3.7768752574920654
two_objective,24,60916,0.7810132853206802,False,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,0.4029231980928268,-2.6122074127197266,3.877201795578003
two_objective,25,74544,0.7789277985306875,False,C[NH+](C)C,O=S1(=O)N=C([O-])c2ccccc21,0.22719275700984748,-4.684633255004883,2.7162768840789795
two_objective,26,75555,0.7493607840668606,False,C[NH+]1CCCC1=O,O=C1[N-]S(=O)(=O)c2ccccc21,0.21974692222391629,-4.945070266723633,3.347641706466675
two_objective,27,75449,0.7352551958655424,False,C[NH+]1CCCC1=O,CC1=CC(=O)[N-]S(=O)(=O)O1,0.2223927478165674,-4.580141067504883,3.6901824474334717
