smiles,family,tsne_1,tsne_2,type,mw
C1CC[NH2+]C1,pyrrolidinium,-22.684847,-18.925364,cation,72.131
C1CC[NH2+]CC1,piperidinium,-22.862156,-19.377943,cation,86.158
C=C([NH3+])[NH2+]CC(CC)CCCC,ammonium,-0.048190374,-6.803122,cation,172.31599999999995
C=C([NH3+])[NH2+]CCCCCC,ammonium,0.5571379,-5.47723,cation,144.262
C=C([NH3+])[NH2+]CCCCCCCC,ammonium,1.9359797,-4.990155,cation,172.31599999999997
C=CCN1C=C[NH+](CCC#N)C1,ammonium,-11.0767355,0.8047429,cation,164.23199999999997
C=CC[N+](C)(C)CC,ammonium,-3.3984842,-15.542092,cation,114.21199999999999
C=CC[NH+](C)C,ammonium,-12.00939,-10.047812,cation,86.15799999999999
C=CC[NH+](C)CC=C,ammonium,-12.845749,-9.65929,cation,112.19599999999998
C=CC[NH+](CC)CC,ammonium,-7.5946074,-11.4566555,cation,114.21199999999999
C=CC[NH+]1C=CN(C)C1,ammonium,-10.015434,0.5576276,cation,125.19499999999998
C=CC[n+]1cc[nH]c1,imidazolium,-7.227186,9.877867,cation,109.15199999999997
C=CC[n+]1ccn(C)c1,imidazolium,-5.9049454,11.380218,cation,123.17899999999997
C=CC[n+]1ccn(CCC#N)c1,imidazolium,2.5929575,10.248933,cation,162.216
C=CCn1cc[n+](C)c1,imidazolium,-9.404409,11.559564,cation,123.17899999999997
C=CCn1cc[n+](CCOC)c1,imidazolium,-1.8053693,10.221014,cation,167.232
C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1,imidazolium,-6.701442,10.663271,cation,257.115
C=Cn1cc[n+](CC(N)=O)c1,imidazolium,-7.0300684,10.439381,cation,152.17700000000002
CC(=O)CCn1cc[n+](C)c1,imidazolium,-11.650233,13.8857,cation,153.205
CC(=O)OCC[N+](C)(C)C,ammonium,-2.1907005,-17.333471,cation,146.21
CC(=O)OCC[N+]1(C)CCCC1,pyrrolidinium,-29.409653,-24.838629,cation,172.24799999999996
CC(=O)[NH+](C)C,ammonium,-11.447583,-11.545954,cation,88.13
CC(C(O)c1ccccc1)[N+](C)(C)C,ammonium,5.616698,23.414408,cation,194.29799999999997
CC(C)=Cn1cc[n+](C)c1,imidazolium,-10.141848,10.222538,cation,137.206
CC(C)CCCCn1cc[n+](C)c1,imidazolium,-14.11649,13.8265505,cation,181.30300000000003
CC(C)CCCn1cc[n+](C)c1,imidazolium,-13.783855,13.304322,cation,167.27599999999998
CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1,ammonium,6.683422,7.723445,cation,276.38199999999995
CC(C)CCn1cc[n+](C)c1,imidazolium,-13.295498,12.532043,cation,153.249
CC(C)C[N+]1(C)CCCC1,pyrrolidinium,-27.966148,-22.945103,cation,142.26599999999996
CC(C)C[N+]1(C)CCCCC1,piperidinium,-27.515352,-22.772661,cation,156.29299999999995
CC(C)C[NH3+],ammonium,-11.737288,-6.7415304,cation,74.14699999999999
CC(C)C[P+](C)(CC(C)C)CC(C)C,phosphonium,-13.376075,-5.7033386,cation,217.35699999999997
CC(C)Cn1cc[n+](C)c1,imidazolium,-12.693657,11.816286,cation,139.22199999999998
CC(C)[n+]1ccn(C)c1,imidazolium,-9.747864,8.922044,cation,125.19499999999998
CC(O)C[NH3+],ammonium,-10.40828,-6.6668253,cation,76.119
CCC(=O)[NH+](C)C,ammonium,-10.7205515,-11.482721,cation,102.15699999999998
CCC(C)C[NH3+],ammonium,-9.114088,-8.844464,cation,88.174
CCC=C[P+](CC)(CC)CC,phosphonium,4.0699344,-21.485723,cation,173.25999999999996
CCC=Cn1cc[n+](C)c1C,imidazolium,-5.2312903,4.7918625,cation,151.23299999999998
