smiles,family,tsne_1,tsne_2,type
C1CC[NH2+]C1,pyrrolidinium,-22.684847,-18.925364,cation
C1CC[NH2+]CC1,piperidinium,-22.862156,-19.377943,cation
C=C([NH3+])[NH2+]CC(CC)CCCC,ammonium,-0.048190374,-6.803122,cation
C=C([NH3+])[NH2+]CCCCCC,ammonium,0.5571379,-5.47723,cation
C=C([NH3+])[NH2+]CCCCCCCC,ammonium,1.9359797,-4.990155,cation
C=CCN1C=C[NH+](CCC#N)C1,ammonium,-11.0767355,0.8047429,cation
C=CC[N+](C)(C)CC,ammonium,-3.3984842,-15.542092,cation
C=CC[NH+](C)C,ammonium,-12.00939,-10.047812,cation
C=CC[NH+](C)CC=C,ammonium,-12.845749,-9.65929,cation
C=CC[NH+](CC)CC,ammonium,-7.5946074,-11.4566555,cation
C=CC[NH+]1C=CN(C)C1,ammonium,-10.015434,0.5576276,cation
C=CC[n+]1cc[nH]c1,imidazolium,-7.227186,9.877867,cation
C=CC[n+]1ccn(C)c1,imidazolium,-5.9049454,11.380218,cation
C=CC[n+]1ccn(CCC#N)c1,imidazolium,2.5929575,10.248933,cation
C=CCn1cc[n+](C)c1,imidazolium,-9.404409,11.559564,cation
C=CCn1cc[n+](CCOC)c1,imidazolium,-1.8053693,10.221014,cation
C=Cn1cc[n+](CC(CBr)N=[N+]=[N-])c1,imidazolium,-6.701442,10.663271,cation
C=Cn1cc[n+](CC(N)=O)c1,imidazolium,-7.0300684,10.439381,cation
CC(=O)CCn1cc[n+](C)c1,imidazolium,-11.650233,13.8857,cation
CC(=O)OCC[N+](C)(C)C,ammonium,-2.1907005,-17.333471,cation
CC(=O)OCC[N+]1(C)CCCC1,pyrrolidinium,-29.409653,-24.838629,cation
CC(=O)[NH+](C)C,ammonium,-11.447583,-11.545954,cation
CC(C(O)c1ccccc1)[N+](C)(C)C,ammonium,5.616698,23.414408,cation
CC(C)=Cn1cc[n+](C)c1,imidazolium,-10.141848,10.222538,cation
CC(C)CCCCn1cc[n+](C)c1,imidazolium,-14.11649,13.8265505,cation
CC(C)CCCn1cc[n+](C)c1,imidazolium,-13.783855,13.304322,cation
CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1,ammonium,6.683422,7.723445,cation
CC(C)CCn1cc[n+](C)c1,imidazolium,-13.295498,12.532043,cation
CC(C)C[N+]1(C)CCCC1,pyrrolidinium,-27.966148,-22.945103,cation
CC(C)C[N+]1(C)CCCCC1,piperidinium,-27.515352,-22.772661,cation
CC(C)C[NH3+],ammonium,-11.737288,-6.7415304,cation
CC(C)C[P+](C)(CC(C)C)CC(C)C,phosphonium,-13.376075,-5.7033386,cation
CC(C)Cn1cc[n+](C)c1,imidazolium,-12.693657,11.816286,cation
CC(C)[n+]1ccn(C)c1,imidazolium,-9.747864,8.922044,cation
