nominal_coverage,empirical_coverage
0.0,0.0
0.01,0.009259259259259259
0.02,0.017592592592592594
0.03,0.02962962962962963
0.04,0.040740740740740744
0.05,0.05185185185185185
0.06,0.06018518518518518
0.07,0.07314814814814814
0.08,0.08611111111111111
0.09,0.09444444444444444
0.1,0.10740740740740741
0.11,0.125
0.12,0.14074074074074075
0.13,0.15555555555555556
0.14,0.17314814814814813
0.15,0.18796296296296297
0.16,0.19722222222222222
0.17,0.21481481481481482
0.18,0.225
0.19,0.2361111111111111
0.2,0.24444444444444444
0.21,0.2574074074074074
0.22,0.27037037037037037
0.23,0.27870370370370373
0.24,0.28888888888888886
0.25,0.3037037037037037
0.26,0.31203703703703706
0.27,0.32592592592592595
0.28,0.33796296296296297
0.29,0.3490740740740741
0.3,0.3611111111111111
0.31,0.37037037037037035
0.32,0.38333333333333336
0.33,0.3925925925925926
0.34,0.40370370370370373
0.35000000000000003,0.41574074074074074
0.36,0.42314814814814816
0.37,0.4361111111111111
0.38,0.45
0.39,0.46111111111111114
0.4,0.4666666666666667
0.41000000000000003,0.4777777777777778
0.42,0.48703703703703705
0.43,0.4962962962962963
0.44,0.5074074074074074
0.45,0.5101851851851852
0.46,0.525
0.47000000000000003,0.5351851851851852
0.48,0.5435185185185185
0.49,0.5509259259259259
0.5,0.5675925925925925
0.51,0.5814814814814815
0.52,0.5935185185185186
0.53,0.6
0.54,0.6111111111111112
0.55,0.6342592592592593
0.56,0.6416666666666667
0.5700000000000001,0.65
0.58,0.6601851851851852
0.59,0.6814814814814815
0.6,0.687962962962963
0.61,0.7037037037037037
0.62,0.7138888888888889
0.63,0.7277777777777777
0.64,0.737037037037037
0.65,0.7481481481481481
0.66,0.7601851851851852
0.67,0.7666666666666667
0.68,0.7777777777777778
0.6900000000000001,0.7888888888888889
0.7000000000000001,0.7972222222222223
0.71,0.8064814814814815
0.72,0.812037037037037
0.73,0.8240740740740741
0.74,0.8361111111111111
0.75,0.8398148148148148
0.76,0.8490740740740741
0.77,0.8564814814814815
0.78,0.8666666666666667
0.79,0.8768518518518519
0.8,0.8814814814814815
0.81,0.8898148148148148
0.8200000000000001,0.8953703703703704
0.8300000000000001,0.9018518518518519
0.84,0.9064814814814814
0.85,0.9148148148148149
0.86,0.925
0.87,0.9324074074074075
0.88,0.937037037037037
0.89,0.9462962962962963
0.9,0.9518518518518518
0.91,0.9546296296296296
0.92,0.9601851851851851
0.93,0.9629629629629629
0.9400000000000001,0.9666666666666667
0.9500000000000001,0.9712962962962963
0.96,0.9787037037037037
0.97,0.9842592592592593
0.98,0.9861111111111112
0.99,0.9888888888888889
1.0,1.0
