cation,anion
C1CC[NH2+]C1,Brc1ccc2[n-]ncc2c1
C1CC[NH2+]C1,Brc1ccc2cn[n-]c2c1
C1CC[NH2+]C1,Brc1cccc2[n-]ncc12
C1CC[NH2+]C1,Brc1cnc[n-]1
C1CC[NH2+]C1,C/C=C/C(=O)[O-]
C1CC[NH2+]C1,C=CC(=O)NC(C)(C)CS(=O)(=O)[O-]
C1CC[NH2+]C1,CC(=O)CCC(=O)[O-]
C1CC[NH2+]C1,CC(=O)NC(C(=O)[O-])C(C)C
C1CC[NH2+]C1,CC(=O)NC(C)C(=O)[O-]
C1CC[NH2+]C1,CC(=O)NC(CC(C)C)C(=O)[O-]
C1CC[NH2+]C1,CC(=O)[O-]
C1CC[NH2+]C1,CC(C)(C)C(=O)[O-]
C1CC[NH2+]C1,CC(C)C(=O)[O-]
C1CC[NH2+]C1,CC(C)C(N)C(=O)[O-]
C1CC[NH2+]C1,CC(C)CC(N)C(=O)[O-]
C1CC[NH2+]C1,CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C
C1CC[NH2+]C1,CC(N)C(=O)[O-]
C1CC[NH2+]C1,CC(O)C(=O)[O-]
C1CC[NH2+]C1,CC(O)C(N)C(=O)[O-]
C1CC[NH2+]C1,CC(Oc1ccc(Cl)cc1Cl)C(=O)[O-]
C1CC[NH2+]C1,CC1(C(=O)[O-])CCCN1
C1CC[NH2+]C1,CC1=CC(=O)[N-]S(=O)(=O)O1
C1CC[NH2+]C1,CCC(=O)[O-]
C1CC[NH2+]C1,CCC(C)C(NC(C)=O)C(=O)[O-]
C1CC[NH2+]C1,CCC(CC)C(=O)[O-]
C1CC[NH2+]C1,CCCC(=O)[O-]
C1CC[NH2+]C1,CCCCC(=O)[O-]
C1CC[NH2+]C1,CCCCC(CC)CCC(=O)[O-]
C1CC[NH2+]C1,CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCCC(=O)[O-]
C1CC[NH2+]C1,CCCCCCC(=O)[O-]
C1CC[NH2+]C1,CCCCCCCC(=O)[O-]
C1CC[NH2+]C1,CCCCCCCCC=CCCCCCCCC(=O)[O-]
C1CC[NH2+]C1,CCCCCCCCCC(=O)[O-]
C1CC[NH2+]C1,CCCCCCCCCCCCOS(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCCCCCCCCCc1ccc(S(=O)(=O)[O-])cc1
C1CC[NH2+]C1,CCCCCCCCCCCCc1ccccc1S(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCCCCCCCOS(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCCCCCOS(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCCCOS(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCOS(=O)(=O)[O-]
C1CC[NH2+]C1,CCCCP(=O)([O-])O
C1CC[NH2+]C1,CCOP(=O)([O-])OCC
C1CC[NH2+]C1,CCOS(=O)(=O)[O-]
C1CC[NH2+]C1,CCP(=O)([O-])O
C1CC[NH2+]C1,CCS(=O)(=O)[O-]
C1CC[NH2+]C1,COCC(=O)[O-]
C1CC[NH2+]C1,COCCOCC(=O)[O-]
C1CC[NH2+]C1,COCCOCCOS(=O)(=O)[O-]
C1CC[NH2+]C1,COP(=O)([O-])OC
C1CC[NH2+]C1,COS(=O)(=O)[O-]
C1CC[NH2+]C1,CO[PH](=O)[O-]
C1CC[NH2+]C1,CP(=O)([O-])O
C1CC[NH2+]C1,CS(=O)(=O)[O-]
C1CC[NH2+]C1,Cc1ccc(S(=O)(=O)[O-])cc1
C1CC[NH2+]C1,Cc1n[n-]cc1Br
C1CC[NH2+]C1,Cc1nc([N+](=O)[O-])c[n-]1
C1CC[NH2+]C1,Cl[Fe-](Cl)(Cl)Br
C1CC[NH2+]C1,Cl[Fe-](Cl)(Cl)Cl
C1CC[NH2+]C1,Clc1n[n-]c2ccccc12
C1CC[NH2+]C1,Clc1nc[n-]c1Cl
C1CC[NH2+]C1,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,FC(F)(F)[N-]C(F)(F)F
C1CC[NH2+]C1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,F[B-](F)(F)C(F)(F)C(F)(F)F
C1CC[NH2+]C1,F[B-](F)(F)C(F)(F)F
C1CC[NH2+]C1,F[B-](F)(F)F
C1CC[NH2+]C1,F[B-](F)(F)c1ccccc1
C1CC[NH2+]C1,F[B-](F)F
C1CC[NH2+]C1,F[P-](F)(F)(F)(F)F
C1CC[NH2+]C1,Ic1cc[n-]n1
C1CC[NH2+]C1,N#CC(=C=[N-])C#N
C1CC[NH2+]C1,N#CN=C=[N-]
