group,co2,tox
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6548653846153846,0.24
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.4348499911826087,1.5905323035
CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,0.14229675675675676,1.4
CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.3567251574803149,1.428134794
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3607305826567944,2.2415190245
CCCCCCn1cc[n+](C)c1.O=S1(=O)N=C([O-])c2ccccc21,0.008992625,2.29
CCCC[N+]1(C)CCCC1.N#C[N-]C#N,0.30251555555555554,4.23
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3834460478256579,3.01
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.01069375,3.3
CCCC[n+]1ccccc1.F[B-](F)(F)F,0.2266796,3.38
CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.39806553672881356,1.374748346
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3927538661666667,2.681072538
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.28615850961797756,2.0
COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.15986111111111112,3.19
C[N+](C)(C)CCO.CC(O)C(=O)[O-],0.0956,4.6
