group,co2,vis
CC(C)C[P+](C)(CC(C)C)CC(C)C.Cc1ccc(S(=O)(=O)[O-])cc1,0.05271669696969697,-1.4199333546
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CC(CC(C)(C)C)CP(=O)([O-])CC(C)CC(C)(C)C,0.6849342105263158,-1.369415006375
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.CS(=O)(=O)[O-],0.6464904718214285,-0.9150404553888889
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.6548653846153846,-2.003666027727273
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Br-],0.5064545454545455,-0.19838396000000003
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],0.4927922077922078,-0.30281797025
CCCCCCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.5744,-4.402229342
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,0.4348499911826087,-1.6741868946404495
CCCCCCCCn1cc[n+](C)c1.O=[N+]([O-])[O-],0.21017347745,-1.3688615122857144
CCCCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3874814814814815,-2.2064231806153844
CCCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.18597777777777777,-3.288826653692308
CCCCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.01391275,-1.34511781975
CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.3567251574803149,-3.3492196310731708
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.5185555555555555,-1.7837913
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3607305826567944,-3.0903517167900003
CCCCCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.4800147058823529,-2.199735975125
CCCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.37007407407407406,-2.4555222676153843
CCCC[N+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.03704933333333333,-1.7631812433999998
CCCC[N+](CCCC)(CCCC)CCCC.CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-],0.49028571428571427,0.8155496173333333
CCCC[N+]1(C)CCCC1.C=CC(=O)NC(C)(C)CS(=O)(=O)[O-],0.39299999999999996,-1.345681224125
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3834460478256579,-3.531230856522936
CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],0.263,-1.465961429
CCCC[P+](C)(CCCC)CCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.47875,-2.2485837762857144
CCCC[P+](CC)(CCCC)CCCC.CCOP(=O)([O-])OCC,0.45105263157894737,-2.160628763125
CCCC[P+](CCCC)(CCCC)CCCC.O=C([O-])C1CCCN1,0.5656153846153846,-1.68456394175
CCCC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.17077777777777778,-3.617480591833333
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,0.01069375,-1.9392583725454546
CCCC[n+]1ccccc1.C=CC(=O)NC(C)(C)CS(=O)(=O)[O-],0.44328571428571434,-1.001916104625
CCCC[n+]1ccccc1.F[B-](F)(F)F,0.2266796,-2.4155137692886597
CCCC[n+]1ccccc1.N#C[S-],0.08828,-3.32127812975
CCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.2007047619047619,-3.5298355499714287
CCCC[n+]1ccccc1.O=[N+]([O-])[O-],0.09428571428571429,-2.41492453025
CCCC[n+]1ccn(C)c1.CC(N)C(=O)[O-],0.24463094550877193,-2.9232286125
CCCCn1cc[n+](C)c1.Cl[Fe-](Cl)(Cl)Cl,0.19164516129032258,-3.7994072111851853
CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.39806553672881356,-3.444727692044511
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.46453766176470584,-3.1372930841034483
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3927538661666667,-3.481054429266667
CCC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.11513888888888887,-3.99523570276
CCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3055088,-3.6244425601034482
CCN(CC)c1c(N(CC)CC)[c+]1N(CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.37460000000000004,-3.659754179
CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.09389655172413792,-3.34606954746875
CC[NH+]1C=CN=C1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.34714814814814815,-3.7034386685714287
CC[NH3+].O=[N+]([O-])[O-],0.037410256410256415,-3.520779973875
CC[S+](CC)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.3154,-4.15562638665625
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0.28615850961797756,-3.5922123064999996
CCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.40837636592178767,-3.5035905252491912
CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.06788940612765958,-3.2542331934499997
COCCOCCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.1950888888888889,-3.415975202692308
COCCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.17573333333333335,-3.6591436833846154
COCC[n+]1ccccc1.N#C[S-],0.08792391304347827,-3.1509062016923077
COCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.15986111111111112,-3.6003916204999995
COC[N+]1(C)CCCC1.O=S(=O)(F)[N-]S(=O)(=O)F,0.31148148148148147,-3.800506557692308
C[N+](C)(C)CCO.CC(O)C(=O)[O-],0.0956,0.8421694784285715
C[N+](C)(C)CCO.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.347375,-3.345678754205882
C[N+](CCO)(CCO)CCO.COS(=O)(=O)[O-],0.06699999999999999,0.211880359
C[NH+](CCO)CCO.[Cl-],0.7623542857142858,-1.7346837978
C[NH2+]CCO.CCCC(=O)[O-],0.2968,-2.109725035083333
C[n+]1ccn(CCO)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,0.08602325581395348,-3.221825162107143
Cn1cc[n+](C)c1.COS(=O)(=O)[O-],0.04911111111111111,-3.0199031068
OCC[n+]1ccccc1.O=S(=O)(N[SH](=O)([O-])C(F)(F)F)C(F)(F)F,0.328037037037037,-2.5807469553076925
[NH3+]CCO.CC(O)C(=O)[O-],0.0858975,0.280657458
