group,vis,tox
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.003666027727273,0.24
CCCCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,-1.6829148845,0.769377326
CCCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-2.0523517905,1.498310554
CCCCCCCCCCn1cc[n+](C)c1.[Cl-],-0.45854036466666664,1.34
CCCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-1.7815656653333332,1.854913022
CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,-1.6741868946404495,1.5905323035
CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-1.8720734882009686,1.96
CCCCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.0256619413,1.64
CCCCCCCCn1cc[n+](C)c1.[Cl-],0.30237043877777775,2.0064186125
CCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-2.1178970244,2.3
CCCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.304973364444445,2.87
CCCCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-3.3492196310731708,1.428134794
CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,-2.0530503435732217,2.980003372
CCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-1.4961826184521738,2.909020854
CCCCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.0903517167900003,2.2415190245
CCCCCCn1cc[n+](C)c1.[Cl-],0.05059480396969697,2.835
CCCCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.4444706026666667,2.85
CCCC[N+](C)(C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.065397968223301,3.61
CCCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.6564110265,3.53
CCCC[N+]1(C)CCCC1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-2.040736965109589,2.41
CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.531230856522936,3.01
CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.8538427947631577,3.41
CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,-2.0265356544823527,2.98
CCCC[n+]1cccc(C)c1.F[B-](F)(F)F,-1.9392583725454546,3.3
CCCC[n+]1ccccc1.F[B-](F)(F)F,-2.4155137692886597,3.38
CCCC[n+]1ccccc1.O=S(=O)([O-])C(F)(F)F,-2.6902500682727273,3.66
CCCC[n+]1ccccc1.[Br-],-4.03200805875,3.9
CCCC[n+]1ccccc1.[Cl-],-4.3551445908,3.77
CCCC[n+]1ccccc1C.F[B-](F)(F)F,-1.9203966260655736,3.25
CCCC[n+]1ccn(CC)c1.F[B-](F)(F)F,-2.26336438,3.26
CCCCn1cc[n+](C)c1.CCCCCCCCOS(=O)(=O)[O-],-2.4021474266842104,3.225309282
CCCCn1cc[n+](C)c1.COCCOCCOS(=O)(=O)[O-],-0.62783264675,3.1541812460000003
CCCCn1cc[n+](C)c1.COS(=O)(=O)[O-],-2.2073371792666667,3.212187604
CCCCn1cc[n+](C)c1.CS(=O)(=O)[O-],-3.564593397,3.511883361
CCCCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-3.444727692044511,1.374748346
CCCCn1cc[n+](C)c1.F[B-](F)(F)F,-2.834472200082305,3.1702244605
CCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-2.31335028535,3.096910013
CCCCn1cc[n+](C)c1.N#C[S-],-3.6978985057380953,3.416640507
CCCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.481054429266667,2.681072538
CCCCn1cc[n+](C)c1.O=S(=O)([O-])C(F)(F)F,-3.2859782226,3.0105946494999998
CCCCn1cc[n+](C)c1.[Br-],-2.864704011,3.4282556305
CCCCn1cc[n+](C)c1.[Cl-],-1.0595308723809524,3.5519415135
CCCCn1cc[n+](C)c1.[I-],-2.3987843153076924,3.4807213145
CCCCn1cc[n+](CC)c1.O=C([O-])C(F)(F)F,-2.419118909,3.31386722
CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-2.8828517057500003,3.16
CCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.8946712797142857,3.2
CCCn1cc[n+](C)c1.F[B-](F)(F)F,-3.3792299941818182,3.4524224300000004
CCOCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.5709592153333336,3.2
CCOCC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.537178047,3.26
CCOCCn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.6482032524444445,3.181843588
CCOC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.7923166647777773,3.26
CCOC[n+]1ccccc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.620710413222222,3.12
CC[N+](C)(C)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-3.550926443875,3.3
CC[S+](C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,-4.032011372666666,3.48
CCn1cc[n+](C)c1.CC(=O)[O-],-3.2513399291485148,4.227654641000001
CCn1cc[n+](C)c1.CCOS(=O)(=O)[O-],-2.91672979929771,3.928395852
CCn1cc[n+](C)c1.COS(=O)(=O)[O-],-3.326714865269231,4.2
CCn1cc[n+](C)c1.CS(=O)(=O)[O-],-2.5369604503913044,3.97
CCn1cc[n+](C)c1.Cc1ccc(S(=O)(=O)[O-])cc1,-1.8541323832307692,3.81
CCn1cc[n+](C)c1.FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,-3.5922123064999996,2.0
CCn1cc[n+](C)c1.F[B-](F)(F)F,-3.4745655407706426,3.44
CCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F,-4.0858480985,3.918030337
CCn1cc[n+](C)c1.N#C[B-](C#N)(C#N)C#N,-4.308011438029411,3.5
