cation,anion,SMILES,cation_canonical,anion_canonical,co2_cation_max_tanimoto,co2_anion_max_tanimoto,vis_cation_max_tanimoto,vis_anion_max_tanimoto,tox_cation_max_tanimoto,tox_anion_max_tanimoto,union_cation_max_tanimoto,union_anion_max_tanimoto
CC(C)NC(=O)NCCOCC[NH3+],CCCC(C(=O)[O-])=C(C)C,CC(C)NC(=O)NCCOCC[NH3+].CCCC(C(=O)[O-])=C(C)C,CC(C)NC(=O)NCCOCC[NH3+],CCCC(C(=O)[O-])=C(C)C,0.16129032258064516,0.5,0.21875,0.5,0.18181818181818182,0.5,0.21875,0.5
CCOCC([NH2+]CCN(C)CCOC)C1CC1,CCC(CC)(CC)NC(=O)NC(=O)C1CCCCCC1C(=O)[O-],CCOCC([NH2+]CCN(C)CCOC)C1CC1.CCC(CC)(CC)NC(=O)NC(=O)C1CCCCCC1C(=O)[O-],CCOCC([NH2+]CCN(C)CCOC)C1CC1,CCC(CC)(CC)NC(=O)NC(=O)C1CCCCCC1C(=O)[O-],0.17777777777777778,0.22727272727272727,0.25,0.22727272727272727,0.225,0.21621621621621623,0.25,0.22727272727272727
COCCCC[NH2+]CCn1ccnn1,O=S(=O)([O-])NCc1ccccc1,COCCCC[NH2+]CCn1ccnn1.O=S(=O)([O-])NCc1ccccc1,COCCCC[NH2+]CCn1ccnn1,O=S(=O)([O-])NCc1ccccc1,0.24444444444444444,0.25806451612903225,0.3111111111111111,0.4074074074074074,0.3235294117647059,0.25806451612903225,0.3235294117647059,0.4074074074074074
C[NH2+]CC(OC)C1CCCCC1,O=S(=O)([O-])I,C[NH2+]CC(OC)C1CCCCC1.O=S(=O)([O-])I,C[NH2+]CC(OC)C1CCCCC1,O=S(=O)([O-])I,0.17142857142857143,0.45454545454545453,0.20930232558139536,0.45454545454545453,0.1891891891891892,0.45454545454545453,0.20930232558139536,0.45454545454545453
CCCCCCCCCCCCOCC(C)OCC(O)C[NH2+]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C([O-])C(Cc1ccccc1F)C(=O)NC1(c2ccc(F)cc2)CCC1,CCCCCCCCCCCCOCC(C)OCC(O)C[NH2+]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO.O=C([O-])C(Cc1ccccc1F)C(=O)NC1(c2ccc(F)cc2)CCC1,CCCCCCCCCCCCOCC(C)OCC(O)C[NH2+]CCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,O=C([O-])C(Cc1ccccc1F)C(=O)NC1(c2ccc(F)cc2)CCC1,0.3673469387755102,0.16666666666666666,0.3673469387755102,0.2545454545454545,0.25862068965517243,0.18518518518518517,0.3673469387755102,0.2545454545454545
C#CCCCCOCCC[NH2+]C(C)C,Nc1cc(I)c2ccccc2c1[O-],C#CCCCCOCCC[NH2+]C(C)C.Nc1cc(I)c2ccccc2c1[O-],C#CCCCCOCCC[NH2+]C(C)C,Nc1cc(I)c2ccccc2c1[O-],0.17647058823529413,0.1794871794871795,0.17647058823529413,0.25925925925925924,0.17647058823529413,0.1794871794871795,0.17647058823529413,0.25925925925925924
CCCN(CCOCCOCC[NH2+]C)c1ccccc1,CCPC(=O)[S-],CCCN(CCOCCOCC[NH2+]C)c1ccccc1.CCPC(=O)[S-],CCCN(CCOCCOCC[NH2+]C)c1ccccc1,CCPC(=O)[S-],0.21739130434782608,0.3,0.25,0.3,0.24,0.3,0.25,0.3
CC1C[NH+](CC(O)CO)CCO1,C=C(C)COC(=O)[O-],CC1C[NH+](CC(O)CO)CCO1.C=C(C)COC(=O)[O-],CC1C[NH+](CC(O)CO)CCO1,C=C(C)COC(=O)[O-],0.13333333333333333,0.35,0.1590909090909091,0.35,0.16666666666666666,0.36,0.16666666666666666,0.36
CC[S+]1CCCC1CSC,CCC(C(=O)[O-])=C1CCCCC1,CC[S+]1CCCC1CSC.CCC(C(=O)[O-])=C1CCCCC1,CC[S+]1CCCC1CSC,CCC(C(=O)[O-])=C1CCCCC1,0.14705882352941177,0.36,0.2857142857142857,0.36,0.14814814814814814,0.36,0.2857142857142857,0.36
OCC1(CCOC2CC[NH2+]CC2)CC1,CSCC(C)SC(=O)[O-],OCC1(CCOC2CC[NH2+]CC2)CC1.CSCC(C)SC(=O)[O-],OCC1(CCOC2CC[NH2+]CC2)CC1,CSCC(C)SC(=O)[O-],0.1,0.34782608695652173,0.16279069767441862,0.34782608695652173,0.10638297872340426,0.34782608695652173,0.16279069767441862,0.34782608695652173
c1ncn(CC2CC[NH2+]CC2)n1,CCC1SCSC1C(=O)[O-],c1ncn(CC2CC[NH2+]CC2)n1.CCC1SCSC1C(=O)[O-],c1ncn(CC2CC[NH2+]CC2)n1,CCC1SCSC1C(=O)[O-],0.1111111111111111,0.2962962962962963,0.16666666666666666,0.2962962962962963,0.10204081632653061,0.2962962962962963,0.16666666666666666,0.2962962962962963
CCC[NH2+]C(CS)CCSCCOC,COCCCOC(OCCF)C(=O)[O-],CCC[NH2+]C(CS)CCSCCOC.COCCCOC(OCCF)C(=O)[O-],CCC[NH2+]C(CS)CCSCCOC,COCCCOC(OCCF)C(=O)[O-],0.23076923076923078,0.25806451612903225,0.2702702702702703,0.25806451612903225,0.2571428571428571,0.30303030303030304,0.2702702702702703,0.30303030303030304
Cc1nc(C[NH3+])cs1,CCc1nnc(SC(C)C(=O)[O-])n1C,Cc1nc(C[NH3+])cs1.CCc1nnc(SC(C)C(=O)[O-])n1C,Cc1nc(C[NH3+])cs1,CCc1nnc(SC(C)C(=O)[O-])n1C,0.17391304347826086,0.2647058823529412,0.17391304347826086,0.2647058823529412,0.1388888888888889,0.2702702702702703,0.17391304347826086,0.2702702702702703
OCC[NH2+]CCCOCO,CCCCOCc1ccc(C(=O)[O-])s1,OCC[NH2+]CCCOCO.CCCCOCc1ccc(C(=O)[O-])s1,OCC[NH2+]CCCOCO,CCCCOCc1ccc(C(=O)[O-])s1,0.28,0.23684210526315788,0.5,0.2894736842105263,0.5,0.2894736842105263,0.5,0.2894736842105263
