model,property,conditioning_pool,r2,rmse,mae,coverage_95,nlpd_moment_matched,nlpd,n_refit,n_test,variance_scale,n_search_trials,best_cv_rmse,elapsed_seconds
product,co2,complete curated non-test pool,0.9123897045429075,0.05613624456293729,0.04407280753612284,0.9712962962962963,-1.4700047952995525,-1.542952828918737,10867.0,1080.0,1.1633034001015214,157.0,0.0805110849911869,337.05455708503723
product,vis,complete curated non-test pool,0.8739980798928333,0.5798402901335443,0.35699456919623823,0.9471726190476191,0.6859217782448436,0.6859217782448436,11101.0,1344.0,8.541221656185522,124.0,0.63464332367991,241.33547973632812
product,tox,complete curated non-test pool,0.7537279773159796,0.45160745456844487,0.3689249887717206,1.0,1.1564371981848462,1.1564371981848462,300.0,31.0,41.088477386745,89.0,0.4886602465530127,12.356797218322754
additive,co2,complete curated non-test pool,0.8681732855137447,0.06886007592891298,0.05437167639861669,0.9777777777777777,-1.0717510303341855,-1.1807238796924988,10867.0,1080.0,1.0,199.0,0.07902486481442365,2740.074360370636
additive,vis,complete curated non-test pool,0.8728675529466396,0.5824357316941591,0.3475047436352336,0.9598214285714286,0.6194830473052301,0.6194830473052301,11101.0,1344.0,1.7465193751487331,121.0,0.6298037241741014,341.52723503112793
additive,tox,complete curated non-test pool,0.774869082459843,0.4317885623313644,0.3493110780147666,1.0,0.7403634513285263,0.7403634513285263,300.0,31.0,42.879600067130966,66.0,0.5222345738975985,6.660539388656616
standard,co2,complete curated non-test pool,0.040155211087123166,0.1858088043825442,0.1486619119438199,0.9055555555555556,-0.27497711205245484,-0.3572112349014033,10867.0,1080.0,21.64623491173293,132.0,0.22220447790364634,554.3405635356903
standard,vis,complete curated non-test pool,0.26404945300140104,1.4013419515740333,1.0115950328284933,0.9404761904761905,1.7234533875342908,1.7234533875342908,11101.0,1344.0,20.38852302888236,172.0,1.3978987386764195,771.8456492424011
standard,tox,complete curated non-test pool,-0.004369848960829925,0.91201167265613,0.7276472028704146,0.9354838709677419,1.4261582418732863,1.4261582418732863,300.0,31.0,32.155854608057055,63.0,0.9317189220154367,140.83844590187073
product_no_cross,co2,complete curated non-test pool,0.9037733463615008,0.058831981322406725,0.04333820093228765,0.9574074074074074,-1.4555123034021633,-1.530843486338191,10867.0,1080.0,3.514819244091786,121.0,0.081441276906747,286.64900517463684
product_no_cross,vis,complete curated non-test pool,0.8776486999081738,0.5713787723212348,0.3616998545503769,0.9590773809523809,0.633612351594848,0.633612351594848,11101.0,1344.0,9.750413192154383,122.0,0.6448249607813291,218.90386199951172
product_no_cross,tox,complete curated non-test pool,0.7801496432257942,0.42669460400359743,0.33799102540639964,1.0,0.7689176201579334,0.7689176201579334,300.0,31.0,57.972276572096966,110.0,0.5158611064029118,9.487810373306274
additive_no_cross,co2,complete curated non-test pool,0.6776618369737452,0.10767667750092152,0.08636974642924705,0.9712962962962963,-0.5325517804159806,-0.6913710178358946,10867.0,1080.0,1.0,111.0,0.08047006969386086,136.52344822883606
additive_no_cross,vis,complete curated non-test pool,0.8380059667723235,0.6574599714043172,0.4569966646506434,0.9970238095238095,1.2644911937217589,1.2644911937217589,11101.0,1344.0,1.0,87.0,0.6817731217746548,113.49712443351746
additive_no_cross,tox,complete curated non-test pool,0.7932611245782121,0.41377537238378614,0.314985767830657,0.967741935483871,0.6295512342533283,0.6295512342533283,300.0,31.0,11.768679673201632,119.0,0.5381093862349937,10.852870225906372
median_heuristic,co2,complete curated non-test pool,0.45832982406211664,0.13958323044736215,0.10447356958782644,0.9657407407407408,-0.5711250222337021,,,,1.0,,,
median_heuristic,vis,complete curated non-test pool,0.8889356243613205,0.5443863123606066,0.32785866495649135,0.9739583333333334,0.6719389010010527,,,,1.4339550652111719,,,
median_heuristic,tox,complete curated non-test pool,0.8125253180105303,0.39402599665170973,0.320904559509301,1.0,0.7345664541467114,,,,3.6238642875901856,,,
