rank,candidate_index,cation,anion,il_smiles,fw_aei_score,co2_pred,co2_std,vis_pred,vis_std,tox_pred,tox_std,pareto_within_selected_set,tier1_flag,tier1_reason,tier2_score,tier2_flag,tier3_flag,tier3_reason,overall_status
5,49876,CCn1ccc[n+]1C,CC1(C(=O)[O-])CCCN1,CCn1ccc[n+]1C.CC1(C(=O)[O-])CCCN1,0.8059397596060413,0.4433871714712372,0.14567231334364106,-2.9619970321655273,1.3177743475540387,3.8406178951263428,2.385010852749042,True,False,,3,False,False,,Pass
7,48964,CCn1cc(C)[n+](CC)c1,CC1(C(=O)[O-])CCCN1,CCn1cc(C)[n+](CC)c1.CC1(C(=O)[O-])CCCN1,0.6602457913865836,0.4385286501740201,0.14632288619021108,-2.8314428329467773,1.3366455521822451,3.7073476314544678,2.673312776332721,False,False,,4,False,False,,Pass
8,47140,CC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.6481316687131379,0.44517164949901983,0.1456961281412837,-2.71311092376709,1.3266601113216545,3.8849236965179443,2.3988116342201042,True,False,,4,False,False,,Pass
14,49958,CCn1ccc[n+]1C,O=C([O-])C1CCCN1,CCn1ccc[n+]1C.O=C([O-])C1CCCN1,0.46953075921857684,0.45923654076565634,0.1480783402779117,-2.3631811141967773,1.3226322358909322,3.831847906112671,2.3679354150251277,True,False,,3,False,False,,Pass
15,47222,CC[S+]1CCCC1,O=C([O-])C1CCCN1,CC[S+]1CCCC1.O=C([O-])C1CCCN1,0.46770285196880973,0.4610487666714116,0.14809094774359582,-2.3160924911499023,1.3412656218231371,3.880836248397827,2.381745446594889,True,False,,3,False,False,,Pass
16,49046,CCn1cc(C)[n+](CC)c1,O=C([O-])C1CCCN1,CCn1cc(C)[n+](CC)c1.O=C([O-])C1CCCN1,0.45813258892356723,0.4540357386584455,0.14866989388766721,-2.38315486907959,1.3506933515730062,3.6983487606048584,2.6608787149330007,True,False,,5,False,False,,Pass
18,38172,CCC[S+]1CCCC1,CC1(C(=O)[O-])CCCN1,CCC[S+]1CCCC1.CC1(C(=O)[O-])CCCN1,0.40261237306144093,0.44581535074693496,0.14566879785675022,-2.3428640365600586,1.313471797665033,3.789191961288452,2.3997417469949776,False,False,,4,False,False,,Pass
23,38254,CCC[S+]1CCCC1,O=C([O-])C1CCCN1,CCC[S+]1CCCC1.O=C([O-])C1CCCN1,0.3112913460164891,0.461624446705265,0.14807118176425313,-2.033095359802246,1.3373373627936327,3.7842061519622803,2.382659206775044,True,False,,4,False,False,,Pass
24,47292,CC[n+]1cc(C)n(C)c1,CC1(C(=O)[O-])CCCN1,CC[n+]1cc(C)n(C)c1.CC1(C(=O)[O-])CCCN1,0.2921620745376326,0.34672564799384714,0.1510530961477801,-2.8122167587280273,1.3506288776756874,3.5787618160247803,2.8960523636862803,False,False,,3,False,False,,Pass
26,49945,CCn1ccc[n+]1C,NCC(=O)[O-],CCn1ccc[n+]1C.NCC(=O)[O-],0.2553336309289482,0.4180921646918067,0.07387950833464073,-2.864089012145996,1.319486867769207,3.7052457332611084,2.8111494424423866,False,False,,4,False,False,,Pass
