smiles,type,family,molecular_weight
C1CC[NH2+]C1,cation,pyrrolidinium,72.131
C=CCN1C=C[NH+](CCC#N)C1,cation,other N-heterocycle,164.23199999999997
C=CC[N+](C)(C)CC,cation,ammonium,114.21199999999999
C=CC[NH+](C)C,cation,ammonium,86.15799999999999
C=CC[NH+](C)CC=C,cation,ammonium,112.19599999999998
C=CC[NH+](CC)CC,cation,ammonium,114.21199999999999
C=CC[NH+]1C=CN(C)C1,cation,other N-heterocycle,125.19499999999998
C=CC[n+]1ccn(C)c1,cation,imidazolium,123.17899999999997
C=CC[n+]1ccn(CCC#N)c1,cation,imidazolium,162.216
C=CCn1cc[n+](C)c1,cation,imidazolium,123.17899999999997
C=CCn1cc[n+](CCOC)c1,cation,imidazolium,167.232
C=Cn1cc[n+](CC(N)=O)c1,cation,imidazolium,152.17700000000002
CC(=O)CCn1cc[n+](C)c1,cation,imidazolium,153.205
CC(=O)OCC[N+]1(C)CCCC1,cation,pyrrolidinium,172.24799999999996
CC(=O)[NH+](C)C,cation,ammonium,88.13
CC(C(O)c1ccccc1)[N+](C)(C)C,cation,ammonium,194.29799999999997
CC(C)=Cn1cc[n+](C)c1,cation,imidazolium,137.206
CC(C)CCCCn1cc[n+](C)c1,cation,imidazolium,181.30300000000003
CC(C)CCCn1cc[n+](C)c1,cation,imidazolium,167.27599999999998
CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1,cation,other N-heterocycle,276.38199999999995
CC(C)CCn1cc[n+](C)c1,cation,imidazolium,153.249
CC(C)C[N+]1(C)CCCC1,cation,pyrrolidinium,142.26599999999996
CC(C)C[N+]1(C)CCCCC1,cation,piperidinium,156.29299999999995
CC(C)C[NH3+],cation,ammonium,74.14699999999999
CC(C)C[P+](C)(CC(C)C)CC(C)C,cation,phosphonium,217.35699999999997
CC(C)Cn1cc[n+](C)c1,cation,imidazolium,139.22199999999998
CC(C)[n+]1ccn(C)c1,cation,imidazolium,125.19499999999998
CC(O)C[NH3+],cation,ammonium,76.119
CCC(=O)[NH+](C)C,cation,ammonium,102.15699999999998
CCC(C)C[NH3+],cation,ammonium,88.174
CCC=C[P+](CC)(CC)CC,cation,phosphonium,173.25999999999996
CCC=Cn1cc[n+](C)c1C,cation,imidazolium,151.23299999999998
CCCC(CC)[N+](C)(C)C(=N)N(C)C,cation,ammonium,200.35
CCCCC(CC)[NH2+]CCN,cation,ammonium,159.29699999999997
CCCCC(CCC)[N+](C)(C)C(=N)N(C)C,cation,ammonium,228.404
CCCCCCCCC=CCCCCCCCC1=[N+](CC)CCN1CCO,cation,other N-heterocycle,379.65300000000013
CCCCCCCCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,335.5999999999999
CCCCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,360.65000000000003
CCCCCCCCCCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,307.54599999999994
CCCCCCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,307.54599999999994
CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,332.59599999999995
CCCCCCCCCCCCCC[N+](C)(CCOCCOCCOCCOCCOCCO)CCOCCOCCOCCOCCOCCO,cation,ammonium,757.0799999999999
CCCCCCCCCCCCCC[N+](CC)(CC)CC,cation,ammonium,298.579
CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,399.7080000000003
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC,cation,phosphonium,483.8700000000006
CCCCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,279.49199999999996
CCCCCCCCCCCCC[N+](C)(CCOCCO)CCOCCOCCO,cation,ammonium,434.68200000000036
CCCCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,304.542
CCCCCCCCCCCC[N+](CC)(CC)CC,cation,ammonium,270.5249999999999
CCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,371.6540000000002
CCCCCCCCCCCC[n+]1ccccc1,cation,pyridinium,248.434
CCCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,251.438
CCCCCCCCCCCCn1cc[n+](CCCCCCCCCCCC)c1,cation,imidazolium,405.73500000000035
CCCCCCCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,280.43199999999996
CCCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,237.411
CCCCCCCCCCN1CCC[N+]2=C1CCCCC2,cation,other N-heterocycle,293.51900000000006
CCCCCCCCCC[N+](C)(C)Cc1ccccc1,cation,ammonium,276.488
CCCCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,240.45499999999993
CCCCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,259.43799999999993
CCCCCCCCCC[n+]1ccccc1,cation,pyridinium,220.38000000000002
CCCCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,223.38400000000001
CCCCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,313.50900000000007
CCCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,223.38400000000001
CCCCCCCCCCn1cc[n+](CC)c1,cation,imidazolium,237.411
CCCCCCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,262.421
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1,cation,imidazolium,349.6270000000002
CCCCCCCCCCn1cc[n+](CCCCCCCCCC)c1C,cation,imidazolium,363.6540000000002
CCCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,226.42799999999994
CCCCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,228.39999999999995
CCCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,245.41099999999994
CCCCCCCCCn1cc[n+](C)c1,cation,imidazolium,209.35700000000003
CCCCCCCCCn1cc[n+](CCCCCCCCC)c1,cation,imidazolium,321.5730000000001
CCCCCCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,197.34600000000003
CCCCCCCC[N+](C)(C)C,cation,ammonium,172.336
CCCCCCCC[N+](C)(CCCCCCCC)C(C)CCCCCC,cation,ammonium,368.71400000000017
CCCCCCCC[N+](C)(CCCCCCCC)C(CC)CCCCC,cation,ammonium,368.71400000000017
CCCCCCCC[N+](C)(CCCCCCCC)C(CCC)CCCC,cation,ammonium,368.71400000000017
CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC,cation,ammonium,368.7140000000002
CCCCCCCC[N+](CC)(CC)CC,cation,ammonium,214.41699999999997
CCCCCCCC[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,cation,ammonium,466.90300000000053
CCCCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,198.37399999999997
CCCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,212.40099999999995
CCCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,214.37299999999996
CCCCCCCC[NH+](CCCCCCCC)CCCCCCCC,cation,ammonium,354.6870000000002
CCCCCCCC[NH+]1C=CN(C)C1C,cation,other N-heterocycle,211.37300000000002
CCCCCCCC[P+](CC)(CC)CC,cation,phosphonium,231.38399999999996
CCCCCCCC[P+](CCCC)(CCCC)CCCC,cation,phosphonium,315.54600000000005
CCCCCCCC[P+](CCCCCCCC)(CCCCCCCC)CCCCCCCC,cation,phosphonium,483.8700000000006
CCCCCCCC[n+]1cc(C)cc(C)c1,cation,pyridinium,220.38000000000002
CCCCCCCC[n+]1ccc(C)cc1,cation,pyridinium,206.35300000000004
CCCCCCCC[n+]1ccc(N(C)C)cc1,cation,pyridinium,235.39500000000004
CCCCCCCC[n+]1ccc2ccccc2c1,cation,pyridinium,242.38600000000005
CCCCCCCC[n+]1cccc(C)c1,cation,pyridinium,206.35300000000004
CCCCCCCC[n+]1cccc(C)c1C,cation,pyridinium,220.38000000000002
CCCCCCCC[n+]1cccc2ccccc21,cation,pyridinium,242.38600000000005
CCCCCCCC[n+]1ccccc1,cation,pyridinium,192.32600000000005
CCCCCCCC[n+]1ccn(C)c1,cation,imidazolium,195.33000000000004
CCCCCCCC[n+]1ccn(CC)c1,cation,imidazolium,209.35700000000003
CCCCCCCC[n+]1ccn(Cc2ccc(C)cc2)c1,cation,imidazolium,285.45500000000004
CCCCCCCCc1cccc[n+]1CC,cation,pyridinium,220.38000000000002
CCCCCCCCn1cc[n+](C)c1,cation,imidazolium,195.33000000000004
CCCCCCCCn1cc[n+](CCC#N)c1,cation,imidazolium,234.36700000000002
CCCCCCCCn1cc[n+](CCCCCCCC)c1,cation,imidazolium,293.519
CCCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,224.324
CCCCCCC[N+](C)(C)CC,cation,ammonium,172.33599999999998
CCCCCCC[N+](CC)(CC)CC,cation,ammonium,200.39
CCCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,184.34699999999995
CCCCCCC[N+]1(C)CCCCC1,cation,piperidinium,198.37399999999994
CCCCCCC[N+]1(C)CCOCC1,cation,morpholinium,200.34599999999995
CCCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,183.319
CCCCCCC[P+](CC)(CC)CC,cation,phosphonium,217.35699999999994
CCCCCCC[n+]1ccccc1,cation,pyridinium,178.29900000000004
CCCCCCC[n+]1ccn(C)c1,cation,imidazolium,181.30300000000003
CCCCCCCc1cccc[n+]1CC,cation,pyridinium,206.353
CCCCCCCn1c(C)cc(C)[n+]1-c1ccccc1,cation,pyrazolium,271.428
CCCCCCCn1cc[n+](C)c1,cation,imidazolium,181.30300000000003
CCCCCCCn1cc[n+](CCCCCCC)c1,cation,imidazolium,265.4649999999999
CCCCCCN1C=C[NH+](C)C1,cation,other N-heterocycle,169.29199999999997
CCCCCCOC(=O)C[N+](C)(C)C,cation,ammonium,202.31799999999998
CCCCCCOC[n+]1cccc(O)c1,cation,pyridinium,210.29700000000003
CCCCCC[N+](C)(C)C,cation,ammonium,144.28199999999998
CCCCCC[N+](CC)(CC)CC,cation,ammonium,186.36299999999997
CCCCCC[N+](CCCCCC)(CCCCCC)CCCCCC,cation,ammonium,354.6870000000002
CCCCCC[N+]1(C)CCCC1,cation,pyrrolidinium,170.31999999999996
CCCCCC[N+]1(C)CCCCC1,cation,piperidinium,184.34699999999995
CCCCCC[N+]1(C)CCOCC1,cation,morpholinium,186.31899999999996
CCCCCC[N+]1(CCCC)CCCC1,cation,pyrrolidinium,212.40099999999995
CCCCCC[N+]1(CCCCCC)CCCC1,cation,pyrrolidinium,240.45499999999993
CCCCCC[NH+](CCCCCC)CCCCCC,cation,ammonium,270.5249999999999
CCCCCC[NH+]1C=CN(C)C1,cation,other N-heterocycle,169.29199999999997
CCCCCC[NH2+]CCN,cation,ammonium,145.27
CCCCCC[P+](CCCCCC)(CCCCCC)CC(C)C,cation,phosphonium,343.6000000000001
CCCCCC[n+]1cc(C)cc(C)c1CC,cation,pyridinium,220.37999999999997
