smiles,type,family,mw,source_properties,source_split_roles,source_files
C1CC[NH2+]C1,cation,pyrrolidinium,72.131,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_5_group_vis.csv;val_4_group_vis.csv
C=CCN1C=C[NH+](CCC#N)C1,cation,other N-heterocycle,164.23199999999997,vis,train;val,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
C=CC[N+](C)(C)CC,cation,ammonium,114.21199999999999,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv;val_2_group_vis.csv;val_3_group_vis.csv
C=CC[NH+](C)C,cation,ammonium,86.15799999999999,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
C=CC[NH+](C)CC=C,cation,ammonium,112.19599999999998,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
C=CC[NH+](CC)CC,cation,ammonium,114.21199999999999,vis,test,test_group_vis.csv
C=CC[NH+]1C=CN(C)C1,cation,other N-heterocycle,125.19499999999998,co2,train;val,train_1_group_co2.csv;train_2_group_co2.csv;train_3_group_co2.csv;train_5_group_co2.csv;val_4_group_co2.csv
C=CC[n+]1ccn(C)c1,cation,imidazolium,123.17899999999997,co2,test;train;val,test_group_co2.csv;train_1_group_co2.csv;train_2_group_co2.csv;train_3_group_co2.csv;train_5_group_co2.csv;val_4_group_co2.csv
C=CC[n+]1ccn(CCC#N)c1,cation,imidazolium,162.216,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
C=CCn1cc[n+](C)c1,cation,imidazolium,123.17899999999997,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv;val_4_group_vis.csv;val_5_group_vis.csv
C=CCn1cc[n+](CCOC)c1,cation,imidazolium,167.232,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
C=Cn1cc[n+](CC(N)=O)c1,cation,imidazolium,152.17700000000002,vis,train;val,train_1_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_2_group_vis.csv
CC(=O)CCn1cc[n+](C)c1,cation,imidazolium,153.205,tox,train;val,train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;train_5_group_tox.csv;val_1_group_tox.csv
CC(=O)OCC[N+]1(C)CCCC1,cation,pyrrolidinium,172.24799999999996,tox,train;val,train_1_group_tox.csv;train_2_group_tox.csv;train_3_group_tox.csv;train_4_group_tox.csv;val_5_group_tox.csv
CC(=O)[NH+](C)C,cation,ammonium,88.13,co2;vis,train;val,train_1_group_vis.csv;train_2_group_co2.csv;train_2_group_vis.csv;train_3_group_co2.csv;train_4_group_co2.csv;train_4_group_vis.csv;train_5_group_co2.csv;train_5_group_vis.csv;val_1_group_co2.csv;val_3_group_vis.csv
CC(C(O)c1ccccc1)[N+](C)(C)C,cation,ammonium,194.29799999999997,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;val_5_group_vis.csv
CC(C)=Cn1cc[n+](C)c1,cation,imidazolium,137.206,vis,test,test_group_vis.csv
CC(C)CCCCn1cc[n+](C)c1,cation,imidazolium,181.30300000000003,vis,train;val,train_1_group_vis.csv;train_2_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_3_group_vis.csv
CC(C)CCCn1cc[n+](C)c1,cation,imidazolium,167.27599999999998,vis,train;val,train_2_group_vis.csv;train_3_group_vis.csv;train_4_group_vis.csv;train_5_group_vis.csv;val_1_group_vis.csv
