smiles,type,family,tsne_1,tsne_2
C1CC[NH2+]C1,cation,pyrrolidinium,-22.095434188842773,-19.44092559814453
C=CCN1C=C[NH+](CCC#N)C1,cation,other N-heterocycle,-12.716535568237305,1.166272759437561
C=CC[N+](C)(C)CC,cation,ammonium,-5.343625068664551,-14.250965118408203
C=CC[NH+](C)C,cation,ammonium,-13.406045913696289,-6.188126087188721
C=CC[NH+](C)CC=C,cation,ammonium,-13.685590744018555,-5.4217352867126465
C=CC[NH+](CC)CC,cation,ammonium,-6.166118144989014,-8.43086051940918
C=CC[NH+]1C=CN(C)C1,cation,other N-heterocycle,-11.772697448730469,0.8141084909439087
C=CC[n+]1ccn(C)c1,cation,imidazolium,-5.334627151489258,7.969756126403809
C=CC[n+]1ccn(CCC#N)c1,cation,imidazolium,0.6673570871353149,5.88617467880249
C=CCn1cc[n+](C)c1,cation,imidazolium,-8.441006660461426,10.0506010055542
C=CCn1cc[n+](CCOC)c1,cation,imidazolium,-2.888482093811035,11.430001258850098
C=Cn1cc[n+](CC(N)=O)c1,cation,imidazolium,-6.06746244430542,8.124767303466797
CC(=O)CCn1cc[n+](C)c1,cation,imidazolium,-8.263153076171875,12.821223258972168
CC(=O)OCC[N+]1(C)CCCC1,cation,pyrrolidinium,-25.949373245239258,-26.61446762084961
CC(=O)[NH+](C)C,cation,ammonium,-13.855233192443848,-7.75440788269043
CC(C(O)c1ccccc1)[N+](C)(C)C,cation,ammonium,5.659135818481445,21.273643493652344
CC(C)=Cn1cc[n+](C)c1,cation,imidazolium,-8.570076942443848,8.915762901306152
CC(C)CCCCn1cc[n+](C)c1,cation,imidazolium,-10.313806533813477,14.233154296875
CC(C)CCCn1cc[n+](C)c1,cation,imidazolium,-10.253911018371582,13.649460792541504
CC(C)CCn1c[n+](CCCCS(=O)(=O)O)cn1,cation,other N-heterocycle,5.8497700691223145,8.242289543151855
CC(C)CCn1cc[n+](C)c1,cation,imidazolium,-10.20565414428711,12.824393272399902
CC(C)C[N+]1(C)CCCC1,cation,pyrrolidinium,-26.81190299987793,-24.606002807617188
CC(C)C[N+]1(C)CCCCC1,cation,piperidinium,-26.497936248779297,-24.26645851135254
CC(C)C[NH3+],cation,ammonium,-9.586869239807129,-4.743363380432129
CC(C)C[P+](C)(CC(C)C)CC(C)C,cation,phosphonium,-9.099478721618652,-3.1714282035827637
CC(C)Cn1cc[n+](C)c1,cation,imidazolium,-10.082440376281738,11.990765571594238
