ind,new_cation,new_anion,Experimental logEC50,group
313,C[N+]1(CCO)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.65,C[N+]1(CCO)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
81,C[N+]1(CC#N)CCCC1,[Cl-],4.23,C[N+]1(CC#N)CCCC1.[Cl-]
260,C[N+]1(CC#N)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,4.0,C[N+]1(CC#N)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
1,CCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.16,CCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
21,C[N+]1(Cc2ccccc2)CCOCC1,O=C([O-])C=CC(=O)O,3.35,C[N+]1(Cc2ccccc2)CCOCC1.O=C([O-])C=CC(=O)O
102,C[N+]1(Cc2ccccc2)CCOCC1,O=C1[N-]S(=O)(=O)c2ccccc21,3.5,C[N+]1(Cc2ccccc2)CCOCC1.O=C1[N-]S(=O)(=O)c2ccccc21
156,CCCCCCn1cc[n+](C)c1,O=C1[N-]S(=O)(=O)c2ccccc21,2.307496038,CCCCCCn1cc[n+](C)c1.O=C1[N-]S(=O)(=O)c2ccccc21
240,C[n+]1ccn(CCCCCCCCO)c1,[Br-],2.357934847,C[n+]1ccn(CCCCCCCCO)c1.[Br-]
323,CCCC[n+]1ccccc1,COS(=O)(=O)[O-],3.92,CCCC[n+]1ccccc1.COS(=O)(=O)[O-]
266,C[N+]1(CCCO)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,C[N+]1(CCCO)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
263,C[N+]1(C#N)CCOCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,C[N+]1(C#N)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
115,CCCC[n+]1cccc(C)c1,[Cl-],3.86,CCCC[n+]1cccc(C)c1.[Cl-]
319,CCCC[n+]1ccc(N(C)C)cc1,[Cl-],1.94,CCCC[n+]1ccc(N(C)C)cc1.[Cl-]
326,CCCC[N+]1(C)CCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.01,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
234,CCCC[n+]1ccccc1C,F[B-](F)(F)F,3.25,CCCC[n+]1ccccc1C.F[B-](F)(F)F
183,CCCC[N+]1(C)CCCCC1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.41,CCCC[N+]1(C)CCCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
262,CCCC[N+]1(C)CCCCC1,[Br-],4.03,CCCC[N+]1(C)CCCCC1.[Br-]
223,CCCCCCOC[n+]1cccc(O)c1,CC1=CC(=O)[N-]S(=O)(=O)O1,3.4,CCCCCCOC[n+]1cccc(O)c1.CC1=CC(=O)[N-]S(=O)(=O)O1
189,CCOC[n+]1ccccc1,[Cl-],3.32,CCOC[n+]1ccccc1.[Cl-]
63,CCOCC[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.27,CCOCC[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
283,COC(C)Cn1cc[n+](C)c1,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.342422681,COC(C)Cn1cc[n+](C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
285,CCCCn1cc[n+](CC)c1,O=C([O-])C(F)(F)F,3.31386722,CCCCn1cc[n+](CC)c1.O=C([O-])C(F)(F)F
174,CCCCCCn1cc[n+](C)c1,F[B-](F)(F)F,2.980003372,CCCCCCn1cc[n+](C)c1.F[B-](F)(F)F
95,CC[N+](C)(C)CCCOC,[Cl-],4.9,CC[N+](C)(C)CCCOC.[Cl-]
259,CCCCCCCCn1cc[n+](C)c1,F[P-](F)(F)(F)(F)F,1.96,CCCCCCCCn1cc[n+](C)c1.F[P-](F)(F)(F)(F)F
243,C[N+]1(Cc2ccccc2)CCOCC1,O=C[O-],4.1,C[N+]1(Cc2ccccc2)CCOCC1.O=C[O-]
165,CCCC[n+]1cccc2ccccc21,[Br-],2.32,CCCC[n+]1cccc2ccccc21.[Br-]
20,CCCCCCCCn1cc[n+](C)c1,CCCCCCCCOS(=O)(=O)[O-],1.525044807,CCCCCCCCn1cc[n+](C)c1.CCCCCCCCOS(=O)(=O)[O-]
35,CCCCn1cc[n+](C)c1,CS(=O)(=O)[O-],3.511883361,CCCCn1cc[n+](C)c1.CS(=O)(=O)[O-]
212,CCCC[N+](C)(C)CC,[Cl-],4.6,CCCC[N+](C)(C)CC.[Cl-]
140,CCCCn1cc[n+](C)c1,CCCCCCCCOS(=O)(=O)[O-],3.225309282,CCCCn1cc[n+](C)c1.CCCCCCCCOS(=O)(=O)[O-]
171,CCCCCCn1cc[n+](CC)c1,[Br-],2.01,CCCCCCn1cc[n+](CC)c1.[Br-]
90,CCCCCCCC[N+]1(C)CCCC1,[Cl-],2.59,CCCCCCCC[N+]1(C)CCCC1.[Cl-]
228,COCC[n+]1ccccc1,[Cl-],4.6,COCC[n+]1ccccc1.[Cl-]
75,CCOC(=O)C[N+](C)(C)CC,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,3.53,CCOC(=O)C[N+](C)(C)CC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F
252,C[n+]1ccn(CCCCO)c1,[Cl-],3.78,C[n+]1ccn(CCCCO)c1.[Cl-]
50,CCCC[N+]1(C)CCCC1,[Cl-],4.6,CCCC[N+]1(C)CCCC1.[Cl-]
