property,source_partition,source_record_id,cation,anion,canonical_group,decision,cation_charge,anion_charge,valid,reason
co2,non_test,4741,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,4791,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,4826,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,4868,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,4909,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,4928,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,4945,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,5155,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,5180,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
co2,non_test,5181,C[n+]1ccn(CCCCS(=O)(=O)O)c1,O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,C[n+]1ccn(CCCCS(=O)(=O)O)c1.O=S(=O)(NS(=O)(=O)C(F)(F)F)C(F)(F)F,exclude,1,0,False,neutral_component_or_incorrect_ion_role
