case,rank,candidate_index
Original,1,58692
Original,2,57932
Original,3,49724
Original,4,62796
Original,5,49876
Original,6,58996
Original,7,48964
Original,8,47140
Original,9,58540
Original,10,50788
Original,11,58001
Original,12,45924
Original,13,58761
Original,14,49958
Original,15,47222
Original,16,49046
Original,17,49793
Original,18,38172
Original,19,62865
Original,20,62878
Original,21,67204
Original,22,50870
Original,23,38254
Original,24,47292
Original,25,19476
Original,26,49945
Original,27,46684
Original,28,47209
Original,29,59078
Original,30,47374
Original,31,66444
Original,32,49033
Original,33,49806
Original,34,57945
Original,35,41212
Original,36,58705
Original,37,58774
Original,38,57918
Original,39,476
Original,40,37564
Original,41,59065
Original,42,58622
Original,43,38241
Original,44,45316
Original,45,3972
Original,46,35740
Original,47,50857
Original,48,45993
Original,49,58706
Original,50,30572
Original,51,58704
Original,52,19545
Original,53,24188
Original,54,30654
Original,55,57934
Original,56,58023
Original,57,49737
Original,58,37868
Original,59,20
Original,60,42428
Original,61,58553
Original,62,37716
Original,63,45468
Original,64,46753
Original,65,57943
Original,66,62809
Original,67,46766
Original,68,37785
Original,69,58783
Original,70,44708
Original,71,50028
Original,72,58678
Original,73,46532
Original,74,58709
Original,75,780
Original,76,58084
Original,77,628
Original,78,4428
Original,79,19489
Original,80,58554
Original,81,57946
Original,82,46006
Original,83,45385
Original,84,37633
Original,85,57944
Original,86,58552
Original,87,62808
Original,88,44480
Original,89,27760
Original,90,54284
Original,91,12636
Original,92,19462
Original,93,4580
Original,94,48812
Original,95,4510
Original,96,44462
Original,97,58703
Original,98,33004
Original,99,58526
Original,100,41281
CO2 x0.5,1,58692
CO2 x0.5,2,57932
CO2 x0.5,3,49724
CO2 x0.5,4,62796
CO2 x0.5,5,49876
CO2 x0.5,6,58996
CO2 x0.5,7,48964
CO2 x0.5,8,47140
CO2 x0.5,9,58540
CO2 x0.5,10,50788
CO2 x0.5,11,58001
CO2 x0.5,12,45924
CO2 x0.5,13,58761
CO2 x0.5,14,49958
CO2 x0.5,15,47222
CO2 x0.5,16,49046
CO2 x0.5,17,49793
CO2 x0.5,18,38172
CO2 x0.5,19,62865
CO2 x0.5,20,62878
CO2 x0.5,21,67204
CO2 x0.5,22,50870
CO2 x0.5,23,38254
CO2 x0.5,24,47292
CO2 x0.5,25,19476
CO2 x0.5,26,49945
CO2 x0.5,27,46684
CO2 x0.5,28,47209
CO2 x0.5,29,59078
CO2 x0.5,30,47374
CO2 x0.5,31,66444
CO2 x0.5,32,49033
CO2 x0.5,33,49806
CO2 x0.5,34,57945
CO2 x0.5,35,41212
CO2 x0.5,36,58705
CO2 x0.5,37,58774
CO2 x0.5,38,57918
CO2 x0.5,39,476
CO2 x0.5,40,37564
