property,record_id,fold,canonical_group,old_role,new_role
vis,9919,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9920,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9921,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9922,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9923,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9924,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9925,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9926,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,12127,3,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],training,validation
vis,9919,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9920,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9921,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9922,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9923,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9924,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9925,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,9926,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
vis,12127,5,CC[n+]1ccccc1.CCOS(=O)(=O)[O-],validation,training
