property,source_partition,source_record_id,cation,anion,canonical_group,decision,cation_charge,anion_charge,valid,reason
co2,non_test,276,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,282,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,296,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,315,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,322,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,336,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,343,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,351,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,357,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,359,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,366,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,370,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,371,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1469,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1477,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1486,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1490,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1491,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1499,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1540,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1585,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1623,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1635,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1693,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1742,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1758,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1802,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1828,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1857,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1872,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1890,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1897,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,1917,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7456,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7500,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7504,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7534,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7628,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7717,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7768,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7807,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7828,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7836,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7842,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7854,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7858,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,7870,CCn1cc[n+](C)c1C,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,CCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,700,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,703,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,706,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,711,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,712,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2525,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2667,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2679,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2699,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
co2,non_test,2731,CCCC[n+]1ccn(C)c1,COS(=O)(=O)[O-],CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],retain,1,-1,True,valid_monovalent_1_to_1_pair
