trial,cv_rmse,train_rmse,kernel_name,kernel_variance,likelihood_noise_variance,ls_an,ls_cat,ls_env_0,ls_env_1
1,0.23251674685970927,0.22989063727149617,Matern52,3.752280460080437e-06,0.0065628533089217905,4.045475720122809,34.33258483724731,3.023263429485401,17.97304371233189
2,0.2057509416680959,0.19730262265149234,RBF,2.503829139499409e-06,0.0010046648974945127,0.01736779788032711,27.77934028055771,2.7101707182655668,0.1591055829616769
3,0.23103914932483938,0.01722331367695307,RBF,0.014309087940598635,0.0010878764668227406,0.042532293512029924,2.9555846685991414,0.01970807025639509,0.03871249382938917
4,0.20677896893947673,0.04882449427701758,RBF,0.0003366174700922295,1.0998495649951428e-05,6.574156904259759,2.343223171434268,0.07061036687172366,0.41220255657706034
5,0.23426498594699857,0.10404804636257263,RationalQuadratic,0.00010881611952878492,0.00012540920999544968,0.2423675041154702,0.14106695091696442,0.024354464379765937,1.0271054144739526
6,0.22846625277279262,0.2001040148238503,RationalQuadratic,0.0006945708217497258,0.023541291127323106,7.808933020548503,0.5858326783434962,0.04406526989469989,10.445023972192205
7,63.72199539077045,66.65854851910615,Matern52,0.060644846055946194,0.0005895360415321776,30.02089704659083,0.021231846602575623,97.26326397617618,6.256254093231762
8,0.1407116273092932,0.02905572861047851,RationalQuadratic,0.0052765696280051375,2.0179376468524907e-05,0.2228019343241632,9.820714637468848,20.91021650264379,0.018077878085009113
9,0.23589320856454826,0.22880040556398837,RationalQuadratic,5.788872993526528e-05,0.05239516456844656,1.9671789913414397,0.016455515721318547,12.1765223538544,7.819763431394544
10,0.2079864314406818,0.04363540642801581,Matern52,0.0033528194761345345,0.0022737684052726837,6.5544495892858805,0.5495305164437173,0.8360431152477957,0.19958576865376365
11,0.23159374774174926,0.22217461278824122,Matern32,0.0006152601339648665,0.03550476096853506,65.93587695888597,0.11838563687273998,0.014623166653720763,0.013766189494922724
